Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,794203
adapter,2,1688146
adapter,3,1895178
adapter,4,1763979
adapter,5,1600917
adapter,6,1707342
adapter,7,2051601
adapter,8,1746905
adapter,9,2062387
adapter,10,2191708
adapter,11,2243553
adapter,12,1965697
adapter,13,2000981
adapter,14,2149164
adapter,15,1966512
adapter,16,1914606
adapter,17,1823886
adapter,18,1736378
adapter,19,1606310
adapter,20,1766334
adapter,21,1754451
adapter,22,1683322
adapter,23,1636062
adapter,24,1412483
adapter,25,1453825
adapter,26,1298626
adapter,27,1493761
adapter,28,1279124
adapter,29,1601824
adapter,30,1643282
adapter,31,1633453
adapter,32,1457198
adapter,33,1541032
adapter,34,1360524
adapter,35,1562000
adapter,36,1304415
adapter,37,1278819
adapter,38,1512526
adapter,39,1265034
adapter,40,1616959
adapter,41,1388918
adapter,42,1347021
adapter,43,1499504
adapter,44,1487635
adapter,45,1596666
adapter,46,1353503
adapter,47,1658491
adapter,48,1553971
adapter,49,1357505
adapter,50,1171106
adapter,51,1270906
adapter,52,1409864
adapter,53,1498397
adapter,54,1253618
adapter,55,1452441
adapter,56,1366711
adapter,57,1714199
adapter,58,1406642
adapter,59,1130899
adapter,60,1365149
adapter,61,1345172
adapter,62,1403375
adapter,63,1166796
adapter,64,1436501
adapter,65,1078069
adapter,66,1063606
adapter,67,1357450
adapter,68,1310692
adapter,69,1509443
adapter,70,1400763
adapter,71,1224285
adapter,72,1193788
adapter,73,1357382
adapter,74,1740166
adapter,75,1157184
adapter,76,1150732
adapter,77,1071880
adapter,78,1156396
adapter,79,1295549
adapter,80,1148552
adapter,81,1085974
adapter,82,1197118
adapter,83,1215989
adapter,84,1048716
adapter,85,1366870
adapter,86,303762
disabled,0,0
disabled,1,0
disabled,2,161462
disabled,3,300000
disabled,4,300000
disabled,5,300000
disabled,6,300000
disabled,7,300000
disabled,8,300000
disabled,9,300000
disabled,10,300000
disabled,11,300000
disabled,12,300000
disabled,13,300000
disabled,14,300000
disabled,15,493995
disabled,16,600000
disabled,17,600000
disabled,18,600000
disabled,19,600000
disabled,20,600000
disabled,21,600000
disabled,22,600000
disabled,23,600000
disabled,24,600000
disabled,25,600000
disabled,26,600000
disabled,27,600000
disabled,28,600000
disabled,29,600000
disabled,30,600000
disabled,31,600000
disabled,32,600000
disabled,33,600000
disabled,34,600000
disabled,35,600000
disabled,36,600000
disabled,37,600000
disabled,38,600000
disabled,39,811444
disabled,40,1195796
disabled,41,1295408
disabled,42,1500000
disabled,43,1500000
disabled,44,1500000
disabled,45,1500000
disabled,46,1500000
disabled,47,1500000
disabled,48,1500000
disabled,49,1500000
disabled,50,1500000
disabled,51,1500000
disabled,52,1763451
disabled,53,1800000
disabled,54,1800000
disabled,55,1830795
disabled,56,2248768
disabled,57,2700000
disabled,58,2700000
disabled,59,2700000
