channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,-2.21,0.461,True,3096,no_sample,AUC747,-1.825,1.808,0,0,0,0.88,1.757,5.001,9.724,14.226,-10,-20,-30,0.918,0.88,1.789,0,unavailable,0,0,22220,,,0,1,0,-195,3,0,0,,,3096,0.0,0,5010,0,0,25203,0
2,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
3,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
4,1,7615,3.88,0.772,True,212,no_sample,AUC747,1.345,1.69,0,1,1,1.28,1.677,8.654,16.178,24.09,-10,-20,-30,1.125,1.338,1.675,0,single_pore,0,6699,587,221.25,1.99,0,1,0,-195,3,5000,11734,98.75,42.8,19526,0.0,0,15726,0,0,7128,0
5,1,16558,1.57,0.754,True,279,no_sample,AUC747,1.36,1.689,0,1,1,1.495,1.655,8.739,16.203,23.824,-10,-20,-30,1.551,1.453,1.65,0,single_pore,0,24762,1180,214.99,1.82,0,1,0,-195,3,0,0,,,41599,0.0,0,0,0,0,12466,0
6,1,0,24.63,0.272,False,0,no_sample,AUC747,0.745,1.701,0,0,0,0.307,1.732,2.647,4.136,8.088,-10,-20,-30,-2.944,0.174,1.685,0,unavailable,0,0,5,,,0,1,0,-195,3,0,0,,,0,0.0,0,43738,0,0,0,0
7,1,4240,4.57,0.757,True,66,no_sample,AUC747,1.8,1.612,0,0,0,1.837,1.611,9.044,16.389,24.191,-10,-20,-30,1.834,1.818,1.651,0,other,0,3046,47324,217.0,1.76,0,1,0,-195,3,0,0,,,7352,0.0,0,0,0,0,3730,0
8,1,11427,2.91,0.766,True,107,no_sample,AUC747,1.806,1.604,0,1,1,1.867,1.595,9.097,16.608,24.41,-10,-20,-30,1.815,1.819,1.565,0,single_pore,0,3229,1290,218.6,1.81,0,1,0,-195,3,6340,0,122.08,62.6,21103,0.0,0,26727,0,0,5186,287
9,1,732,1.45,0.465,True,1710,no_sample,AUC747,1.648,1.644,0,0,0,1.436,1.684,6.301,10.875,15.594,-10,-20,-30,3.507,1.135,1.697,0,unavailable,0,0,13727,,,0,1,0,-195,3,0,0,,,2442,0.0,0,11155,0,0,21144,6145
10,1,904,4.87,0.756,True,41,no_sample,AUC747,1.959,1.606,0,0,0,1.985,1.609,9.131,16.447,24.25,-10,-20,-30,1.964,1.892,1.616,0,other,0,216,55551,215.41,1.56,0,1,0,-195,3,0,0,,,1161,0.0,0,0,0,0,3,0
