Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,194,72,122,0,305602,35124,20999,16147,305602
2,629,135,252,0,1009459,115127,68817,32601,617344
3,1158,342,677,0,1978133,223214,133452,86386,1633693
4,1620,511,987,0,2822985,320569,191684,127199,2628776
5,2105,670,1297,0,3653448,413690,247358,167172,3432148
6,2594,827,1612,0,5188440,579024,346355,208036,4187448
7,3174,1017,1966,0,6138371,687725,411337,254063,5051844
8,3630,1191,2320,0,7747475,861409,515363,298849,6110772
9,4183,1370,2639,0,8669869,966295,578070,341773,6895976
10,4748,1534,3023,0,13020431,1416590,848025,404360,8369786
11,5367,1708,3459,0,14820420,1612061,965052,458398,9480262
12,5965,1942,3859,0,15760324,1720551,1029899,513538,10510441
13,6530,2141,4241,0,16705469,1828599,1094500,563631,11453994
14,7062,2306,4589,0,18336482,2005796,1200605,611485,13032251
15,7647,2505,4958,0,19275625,2113988,1265275,660174,13966602
16,8242,2710,5369,0,20195793,2219907,1328581,713079,14936683
17,8743,2858,5713,0,21013859,2312881,1384160,755184,15738113
18,9241,3060,6080,0,21807891,2404094,1438684,803591,16642521
19,9718,3193,6373,0,22579668,2492074,1491283,840093,17323147
20,10227,3376,6722,0,23484391,2594221,1552355,887915,18253368
21,10741,3533,7059,0,24360383,2693369,1611628,931807,19112718
22,11275,3736,7420,0,25203971,2790843,1669896,979878,20012874
23,11708,3902,7704,0,25956540,2876468,1721100,1019764,20773353
24,12126,4054,7970,0,26680658,2958988,1770448,1056014,21520195
25,12575,4210,8256,0,28045105,3104867,1857803,1094710,22854974
26,12975,4346,8526,0,29599842,3269676,1956526,1129151,23502652
27,13429,4508,8827,0,30331270,3352977,2006326,1167846,24233259
28,13841,4628,9096,0,31326359,3462164,2071677,1211016,25203360
29,14316,4804,9406,0,32088223,3549890,2124120,1253278,25977977
30,14786,4960,9711,0,32882656,3640112,2178075,1293235,26751606
31,15307,5122,10061,0,34626014,3824380,2288418,1343415,27762621
32,15778,5290,10383,0,35741689,3946771,2361661,1386958,28924540
33,16247,5454,10700,0,36547114,4038062,2416247,1428154,29695161
34,16678,5607,10978,0,37237855,4117619,2463798,1467076,30439511
35,17122,5770,11267,0,37948740,4199097,2512506,1506539,31171090
36,17533,5930,11518,0,38630890,4277162,2559175,1543502,31843063
37,17930,6072,11794,0,39254639,4349195,2602231,1579118,32508234
38,18422,6246,12071,0,40086676,4443950,2658879,1618010,33264537
39,18844,6427,12321,0,40772994,4522358,2705757,1655293,33974077
40,19383,6648,12648,0,41626868,4620486,2764416,1703300,34842540
41,19864,6824,12958,0,42395314,4707206,2816254,1744802,35616559
42,20342,6993,13278,0,43174721,4795990,2869318,1785962,36420491
43,20860,7156,13599,0,43987944,4889322,2925108,1827742,37180277
44,21371,7345,13927,0,44825284,4984265,2981857,1872519,38022316
45,21891,7530,14278,0,45651756,5079089,3038537,1917912,38863816
46,22354,7706,14562,0,46412607,5165795,3090360,1959142,39630283
47,22907,7905,14913,0,47283953,5265674,3150068,2006416,40490349
48,23455,8109,15236,0,51333226,5685564,3401774,2051350,41323376
49,23922,8310,15561,0,52092568,5773007,3454054,2097079,42166743
50,24341,8452,15799,0,52761247,5849719,3499914,2129605,42766511
51,24758,8633,16040,0,53946044,5979313,3577500,2166410,43420597
52,25218,8790,16339,0,54674864,6062634,3627301,2205857,44687031
53,25753,8982,16709,0,56712658,6277350,3755905,2254806,45578468
54,26224,9144,16997,0,57457578,6362496,3806796,2293595,46292591
55,26730,9318,17341,0,60103147,6664551,3987815,2337715,47098269
56,27215,9484,17679,0,60868351,6751853,4039993,2380461,47897075
57,27840,9715,18050,0,61893765,6870364,4110840,2432368,48808612
58,28400,9907,18417,0,62767917,6970923,4170942,2480694,49758662
59,28860,10090,18717,0,63469677,7051710,4219221,2522165,50495941
60,29357,10262,19034,0,64248804,7141034,4272609,2564084,51259171
61,29862,10439,19372,0,65063496,7234782,4328641,2608719,52089164
62,30394,10651,19683,0,65939140,7335734,4388979,2654554,52954994
63,30868,10814,19991,0,67242883,7477331,4473743,2709120,54248645
64,31362,11015,20294,0,68012824,7566108,4526808,2752432,55037714
65,31751,11173,20537,0,69865271,7761787,4644056,2786965,55677461
66,32160,11331,20784,0,71196559,7912112,4734083,2822107,56333874
67,32694,11522,21110,0,72054939,8010360,4792809,2865969,57169932
68,33250,11759,21446,0,74176629,8234265,4926919,2914789,58050988
69,33837,12000,21800,0,75179185,8349072,4995564,2967161,59061566
70,34383,12201,22141,0,76384363,8481660,5074897,3016752,60254431
71,34918,12423,22462,0,79706409,8829283,5283245,3067124,61235771
72,35354,12599,22721,0,80505493,8921622,5338467,3105158,62033634
73,35868,12770,23029,0,81293854,9012354,5392699,3146070,62774379
74,36505,13016,23441,0,82606401,9160838,5481525,3205031,64115574
75,36979,13194,23679,0,83448460,9257041,5539050,3300713,76613827
76,37466,13410,24043,0,84276136,9350598,5594986,3350660,77588539
77,37909,13586,24307,0,84964021,9429787,5642312,3388084,78276744
78,38392,13763,24591,0,85890939,9532428,5703701,3427566,79172158
79,38967,13922,24920,0,86836751,9641270,5768772,3470107,79974748
80,39454,14094,25277,0,87647931,9733687,5824022,3515351,80856722
81,39858,14249,25503,0,88288475,9807653,5868235,3548521,81457318
82,40337,14436,25783,0,89012362,9891635,5918431,3588344,82155916
83,40862,14622,26128,0,90934133,10102885,6044969,3633270,83015413
84,41333,14752,26387,0,111432927,12341324,7387852,3666088,83643270
85,41924,14974,26740,0,112390029,12450966,7453396,3714870,84560840
86,42080,15110,26954,26,136598655,15026097,8998405,3745223,85118202
