Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,650017
adapter,2,1553993
adapter,3,2311353
adapter,4,2034254
adapter,5,1874056
adapter,6,2044098
adapter,7,1734106
adapter,8,1908943
adapter,9,1664329
adapter,10,1873856
adapter,11,1819319
adapter,12,2013260
adapter,13,1886588
adapter,14,1360070
adapter,15,1532599
adapter,16,1543724
adapter,17,1664727
adapter,18,1600802
adapter,19,1667018
adapter,20,1548687
adapter,21,1642432
adapter,22,1358313
adapter,23,1244839
adapter,24,1422620
adapter,25,1514878
adapter,26,1499973
adapter,27,1209424
adapter,28,1297194
adapter,29,1205310
adapter,30,1292959
adapter,31,1300795
adapter,32,1290482
adapter,33,1304777
adapter,34,1262414
adapter,35,1219348
adapter,36,941042
adapter,37,876165
adapter,38,939039
adapter,39,806875
adapter,40,1038416
adapter,41,1017197
adapter,42,801262
adapter,43,870707
adapter,44,956856
adapter,45,709242
adapter,46,887177
adapter,47,931593
adapter,48,990554
adapter,49,868454
adapter,50,576141
adapter,51,946477
adapter,52,925250
adapter,53,794862
adapter,54,984800
adapter,55,661802
adapter,56,749519
adapter,57,817505
adapter,58,855272
adapter,59,970480
adapter,60,1003367
adapter,61,774329
adapter,62,937365
adapter,63,799959
adapter,64,773484
adapter,65,989945
adapter,66,810963
adapter,67,806506
adapter,68,843546
adapter,69,823738
adapter,70,814551
adapter,71,860203
adapter,72,697793
adapter,73,676924
adapter,74,633253
adapter,75,810767
adapter,76,788642
adapter,77,715260
adapter,78,537051
adapter,79,530741
adapter,80,505499
adapter,81,764657
adapter,82,736272
adapter,83,573132
adapter,84,533388
adapter,85,677318
adapter,86,715287
adapter,87,513587
adapter,88,477689
adapter,89,757063
adapter,90,30711
disabled,0,0
disabled,1,0
disabled,2,0
disabled,3,0
disabled,4,0
disabled,5,189525
disabled,6,300000
disabled,7,300000
disabled,8,300000
disabled,9,300000
disabled,10,300000
disabled,11,300000
disabled,12,300000
disabled,13,349742
disabled,14,952945
disabled,15,1200000
disabled,16,1451547
disabled,17,1500000
disabled,18,1506127
disabled,19,1800000
disabled,20,1800000
disabled,21,2238923
disabled,22,2400000
disabled,23,2664738
disabled,24,2700000
disabled,25,2945198
disabled,26,3116852
disabled,27,3739652
disabled,28,3928638
disabled,29,4200000
disabled,30,4200000
disabled,31,4200000
disabled,32,4200000
disabled,33,4200000
disabled,34,4205659
disabled,35,4500000
disabled,36,4923226
disabled,37,5124154
disabled,38,5400000
disabled,39,5400000
disabled,40,5400000
disabled,41,5584535
disabled,42,6000000
disabled,43,6000000
disabled,44,6000000
disabled,45,6000000
disabled,46,6000000
disabled,47,6000000
disabled,48,6000000
disabled,49,6000000
disabled,50,6206027
disabled,51,6300000
disabled,52,6300000
disabled,53,6300000
disabled,54,6489621
disabled,55,6600000
disabled,56,6600000
disabled,57,6600000
disabled,58,6600000
disabled,59,6600000
disabled,60,6659043
disabled,61,6900000
disabled,62,6900000
disabled,63,6900000
disabled,64,6900000
disabled,65,6900000
disabled,66,6900000
disabled,67,6900000
disabled,68,6900000
disabled,69,6900000
disabled,70,6900000
disabled,71,6950196
disabled,72,7200000
disabled,73,7200000
disabled,74,7200000
disabled,75,7200000
disabled,76,7200000
disabled,77,7200000
disabled,78,7510500
disabled,79,7800000
disabled,80,7800000
disabled,81,7800000
disabled,82,7800000
disabled,83,7800000
disabled,84,7800000
disabled,85,7800000
disabled,86,7800000
disabled,87,7800000
disabled,88,7975180
disabled,89,8100000
disabled,90,176205
locked,0,0
locked,1,0
locked,2,0
locked,3,0
locked,4,0
locked,5,1792
locked,6,0
locked,7,0
locked,8,0
locked,9,0
locked,10,0
locked,11,0
locked,12,0
locked,13,1792
locked,14,7770
locked,15,0
locked,16,5026
locked,17,0
locked,18,1792
locked,19,0
locked,20,0
locked,21,4032
locked,22,0
locked,23,1792
locked,24,0
locked,25,1792
locked,26,1792
locked,27,4032
locked,28,5030
locked,29,0
locked,30,0
locked,31,0
locked,32,0
locked,33,0
locked,34,903
locked,35,0
locked,36,6831
locked,37,2185
locked,38,0
locked,39,0
locked,40,0
locked,41,7208
locked,42,0
locked,43,0
locked,44,0
locked,45,0
locked,46,0
locked,47,0
locked,48,0
locked,49,0
locked,50,1792
locked,51,0
locked,52,0
locked,53,0
locked,54,1792
