channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
2,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
3,1,0,2.54,0.351,False,0,no_sample,AVI196,-1.534,1.703,0,0,0,-1.37,1.692,0.716,4.099,7.736,-10,-20,-30,-8.086,-1.492,1.72,0,unavailable,0,0,0,,,0,1,0,-195,3,0,15465,,,0,0.0,0,28822,0,0,7,0
4,1,9389,2.61,0.751,True,234,no_sample,AVI196,0.538,1.642,0,1,1,0.509,1.654,7.681,15.063,22.706,-10,-20,-30,0.164,0.579,1.618,0,single_pore,0,6797,1304,209.61,1.78,0,1,0,-195,3,0,0,,,16420,0.0,0,25644,0,0,2201,8319
5,1,0,16.55,0.49,True,3,no_sample,AVI196,0.179,1.646,0,0,0,0.195,1.687,4.834,8.903,14.627,-10,-20,-30,-0.873,0.173,1.641,0,unavailable,0,0,834,,,0,1,0,-195,3,0,0,,,3,0.0,0,39469,0,0,14787,0
6,1,24422,2.83,0.744,True,151,no_sample,AVI196,1.087,1.676,0,1,1,1.065,1.71,7.842,15.142,22.725,-10,-20,-30,0.472,1.09,1.691,0,single_pore,0,7125,4993,210.26,1.94,0,1,0,-195,3,7192,0,108.78,60.1,38890,0.0,0,0,0,0,10989,0
7,1,6618,4.15,0.726,True,194,no_sample,AVI196,0.879,1.641,0,1,1,0.939,1.65,7.795,14.845,22.31,-10,-20,-30,0.64,0.975,1.628,0,single_pore,0,18982,566,202.8,1.77,0,1,0,-195,3,5806,0,110.74,66.6,31600,0.0,0,17022,0,0,9308,0
8,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
9,1,0,-0.84,0.66,True,0,no_sample,AVI196,0.973,1.589,0,0,0,0.915,1.615,7.283,13.927,20.487,-10,-20,-30,1.052,1.006,1.59,0,unavailable,0,980,28597,174.07,1.79,0,1,0,-195,3,0,0,,,980,0.0,0,24398,0,0,28,0
10,1,14108,2.88,0.732,True,78,no_sample,AVI196,1.124,1.588,0,1,1,1.125,1.583,8.056,15.23,22.692,-10,-20,-30,0.94,1.127,1.555,0,single_pore,0,5010,1067,207.64,1.63,0,1,0,-195,3,5765,0,111.12,57.0,24961,0.0,0,24071,0,0,4392,0
11,1,5413,5.22,0.737,True,147,no_sample,AVI196,1.259,1.639,0,1,1,1.187,1.644,8.162,15.275,22.91,-10,-20,-30,0.942,1.224,1.635,0,single_pore,0,3994,819,208.87,1.79,0,1,0,-195,3,9547,10051,111.1,62.0,19101,0.0,0,19740,0,0,2939,3411
12,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
13,1,0,-2.72,0.544,True,213,no_sample,AVI196,-1.453,1.851,0,0,0,-1.264,1.805,4.508,10.079,15.378,-10,-20,-30,-1.626,-1.35,1.777,0,zero,0,0,3876,,,0,1,0,-195,3,0,0,,,213,0.0,0,5008,0,0,26692,19380
14,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
15,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
16,1,0,-10.77,0.58,True,3,no_sample,AVI196,0.665,1.679,0,0,0,0.665,1.68,6.975,13.313,18.574,-10,-20,-30,2.272,0.687,1.667,0,other,0,5187,52034,177.6,1.93,0,1,0,-195,3,0,0,,,5190,0.0,0,0,0,0,1374,0
17,1,24074,2.97,0.735,True,133,no_sample,AVI196,0.291,1.644,0,1,1,0.222,1.633,7.105,14.302,21.796,-10,-20,-30,-0.397,0.26,1.637,0,single_pore,0,7884,1541,208.07,1.7,0,1,0,-195,3,5563,0,111.07,56.7,37654,0.0,0,14015,0,0,2853,0
18,1,994,4.25,0.735,True,3,no_sample,AVI196,0.891,1.666,0,0,0,0.927,1.639,7.856,14.991,22.551,-10,-20,-30,0.59,0.916,1.639,0,unavailable,0,0,44577,,,0,1,0,-195,3,0,0,,,997,0.0,0,12339,0,0,0,0
19,1,0,,,False,0,no_sample,AVI196,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
20,1,0,3.49,0.72,True,0,no_sample,AVI196,0.908,1.629,0,1,1,0.895,1.646,7.696,14.725,22.103,-10,-20,-30,0.599,0.899,1.627,0,single_pore,0,3305,4547,188.0,1.84,0,1,0,-195,3,9294,827,107.73,55.6,12599,0.0,0,37475,0,0,0,0
