Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,198,66,132,0,328551,36999,22122,16918,328551
2,672,132,266,0,1061666,120073,71753,33966,643221
3,1417,414,771,0,2275513,257144,153685,102415,1895471
4,2090,681,1239,0,3372810,380083,227181,167110,3099555
5,2699,881,1634,0,4314938,487332,291284,218613,4027382
6,3349,1138,2047,0,5370422,606105,362289,277700,5091550
7,3927,1335,2404,0,6285396,709182,423893,326363,5985277
8,4570,1575,2792,0,7310692,825537,493448,380435,6988377
9,5173,1812,3168,0,8527826,960520,574190,436933,8198826
10,5780,2036,3574,0,9537983,1073004,641439,492171,9235482
11,6379,2252,3951,0,10483948,1180005,705393,543826,10207405
12,7031,2494,4374,0,13181607,1481112,885793,601829,11248032
13,7676,2737,4775,0,14248502,1600880,957390,658690,12282589
14,8126,2923,5087,0,14991199,1685351,1007887,703537,13110355
15,8624,3095,5383,0,16111111,1811534,1083394,757627,14192522
16,9132,3283,5724,0,16951104,1906693,1140272,804180,15057514
17,9715,3493,6067,0,19220253,2155564,1289354,852852,15957493
18,10270,3700,6416,0,20152180,2259828,1351686,902797,16895177
19,10859,3938,6785,0,21113341,2367323,1415927,955950,17891373
20,11399,4132,7123,0,21990816,2466416,1475155,1001306,18732038
21,11913,4321,7473,0,22797110,2557796,1529777,1049102,19596279
22,12384,4502,7783,0,23560347,2644540,1581629,1091783,20390340
23,12795,4649,8042,0,24256663,2723124,1628612,1127411,21060186
24,13293,4826,8336,0,25071398,2815156,1683621,1168206,21829796
25,13807,5021,8679,0,25938510,2911602,1741277,1215884,22758712
26,14289,5203,9002,0,27086823,3043444,1820176,1261789,23951151
27,14722,5342,9279,0,28122222,3159364,1889552,1301518,24945299
28,15193,5518,9566,0,28881248,3245592,1941091,1342595,25697007
29,15643,5665,9865,0,29660491,3333383,1993569,1381693,26473507
30,16134,5880,10175,0,30461158,3424328,2047945,1427374,27295578
31,16578,6037,10454,0,31225931,3509977,2099152,1466177,28035292
32,17028,6196,10765,0,31946089,3592038,2148199,1508354,28834615
33,17475,6346,11036,0,32643209,3671755,2195840,1545408,29490785
34,17961,6535,11323,0,33427802,3760628,2248956,1587323,30244037
35,18403,6696,11626,0,34152237,3842726,2298038,1629291,31013863
36,18783,6828,11873,0,34780455,3914046,2340675,1662845,31633701
37,19122,6959,12109,0,35331447,3976066,2377750,1694996,32232671
38,19476,7084,12349,0,35924117,4042917,2417716,1726884,32842967
39,19802,7184,12542,0,36485036,4106039,2455460,1753111,33346665
40,20194,7295,12821,0,37137136,4179571,2499418,1787680,33987043
41,20609,7452,13111,0,37822614,4257439,2545969,1827158,34725184
42,20893,7551,13297,0,38262307,4307963,2576174,1852551,35170068
43,21265,7674,13528,0,38874464,4378171,2618146,1883828,35753472
44,21627,7812,13765,0,40453650,4544966,2718077,1917001,36368381
45,21877,7899,13936,0,40889527,4593369,2747007,1939862,36826512
46,22272,8017,14192,0,41547562,4668142,2791713,1972451,37456652
47,22645,8155,14448,0,42150130,4736930,2832827,2006620,38085831
48,23002,8260,14673,0,42764833,4807068,2874767,2036204,38662256
49,23354,8398,14914,0,43337794,4872341,2913794,2069285,39279082
50,23625,8495,15096,0,43993386,4944818,2957167,2096208,39938494
51,23992,8619,15305,0,46122965,5166798,3090209,2125258,40492348
52,24382,8759,15566,0,51766922,5759754,3445821,2161653,41595945
53,24717,8885,15788,0,52328253,5822830,3483527,2191759,42166296
54,25158,9046,16071,0,53038505,5903231,3531587,2230297,42880749
55,25414,9127,16256,0,53495567,5954172,3562038,2253295,43359344
56,25767,9244,16474,0,54081329,6020690,3601803,2282451,43917330
57,26137,9372,16730,0,54717722,6092076,3644488,2316239,44580037
58,26504,9500,16963,0,66250560,7301039,4369714,2474511,65064618
59,26919,9634,17233,0,67145535,7400372,4429143,2515097,65917911
60,27305,9780,17487,0,67813877,7475812,4474257,2550415,66618572
61,27648,9919,17696,0,68482723,7550557,4518956,2582523,67215534
62,28039,10060,17936,0,69121137,7622875,4562198,2616343,67918950
63,28407,10195,18179,0,69722142,7690971,4602899,2649825,68545428
64,28729,10340,18374,0,70263068,7751602,4639132,2679687,69112762
65,29135,10473,18626,0,70942278,7828251,4684957,2713606,69757598
66,29497,10589,18890,0,71553329,7897140,4726147,2747703,70397357
67,29849,10695,19121,0,72121192,7961184,4764424,2776867,70941665
68,30256,10843,19383,0,72766964,8034520,4808253,2812248,71597172
69,30602,10960,19624,0,77451374,8512619,5094976,2843071,72162866
70,30921,11072,19828,0,77968252,8571329,5130069,2870733,72670626
71,31261,11205,20034,0,78522240,8634006,5167537,2900395,73228869
72,31571,11312,20236,0,79022800,8691278,5201770,2927237,73723031
73,31866,11419,20427,0,79569505,8752987,5238677,2955029,74275288
74,32144,11529,20605,0,80036994,8806337,5270568,2980468,74762006
75,32478,11653,20800,0,80595684,8869297,5308213,3008301,75299438
76,32846,11791,21040,0,81197277,8938099,5349343,3041314,75915753
77,33203,11918,21270,0,84917212,9339581,5590094,3071840,76519107
78,33471,12009,21450,0,85353643,9389109,5619703,3095422,76961349
79,33728,12100,21613,0,85785677,9437979,5648925,3117100,77390760
80,33985,12181,21792,0,86227888,9487668,5678633,3139436,77836223
81,34323,12302,22008,0,88135626,9687774,5798554,3168763,78388404
82,34645,12399,22229,0,89628175,9847115,5894029,3201750,79099124
83,34912,12487,22418,0,90330521,9924324,5940245,3228563,79821702
84,35185,12549,22568,0,90875637,9985776,5977003,3248792,80264123
85,35486,12659,22760,0,91578126,10064384,6024047,3276567,80814695
86,35769,12776,22943,0,92049454,10117606,6055865,3307982,81472321
87,35994,12851,23085,0,92426548,10160421,6081454,3327114,81830763
88,36232,12936,23247,0,92863855,10209407,6110753,3349245,82275682
89,36578,13042,23421,0,93441964,10274440,6149628,3373718,82750242
90,36590,13079,23518,0,93461809,10276756,6151015,3460065,93443043
