Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,233028
adapter,2,423284
adapter,3,582383
adapter,4,566670
adapter,5,584054
adapter,6,383191
adapter,7,542112
adapter,8,565415
adapter,9,540565
adapter,10,504978
adapter,11,453556
adapter,12,364928
adapter,13,643862
adapter,14,390080
adapter,15,441298
adapter,16,470981
adapter,17,482829
adapter,18,518382
adapter,19,464457
adapter,20,432152
adapter,21,404934
adapter,22,333971
adapter,23,424302
adapter,24,362600
adapter,25,518925
adapter,26,336827
adapter,27,265340
adapter,28,288526
adapter,29,234452
adapter,30,204549
adapter,31,307740
adapter,32,391806
adapter,33,224229
adapter,34,319252
adapter,35,314220
adapter,36,248977
adapter,37,189073
adapter,38,168852
adapter,39,223128
adapter,40,275238
adapter,41,236310
adapter,42,293705
adapter,43,348388
adapter,44,322908
adapter,45,244152
adapter,46,198168
adapter,47,340904
adapter,48,294031
adapter,49,284142
adapter,50,333563
adapter,51,375354
adapter,52,241691
adapter,53,187674
adapter,54,276871
adapter,55,304389
adapter,56,306270
adapter,57,251393
adapter,58,358179
adapter,59,294205
adapter,60,315768
adapter,61,256470
adapter,62,273329
adapter,63,281095
adapter,64,293227
adapter,65,228778
adapter,66,297507
adapter,67,364594
adapter,68,352627
adapter,69,280041
adapter,70,388106
adapter,71,224839
adapter,72,266675
adapter,73,221883
adapter,74,240466
adapter,75,317775
adapter,76,344560
adapter,77,322332
adapter,78,223418
adapter,79,308219
adapter,80,244345
adapter,81,294999
adapter,82,342357
adapter,83,337271
adapter,84,241950
adapter,85,280820
adapter,86,252947
adapter,87,272862
adapter,88,279977
adapter,89,176661
adapter,90,12462
disabled,0,0
disabled,1,0
disabled,2,160707
disabled,3,300000
disabled,4,592225
disabled,5,600000
disabled,6,600000
disabled,7,600000
disabled,8,600000
disabled,9,753179
disabled,10,900000
disabled,11,900000
disabled,12,900000
disabled,13,900000
disabled,14,900000
disabled,15,900000
disabled,16,900000
disabled,17,900000
disabled,18,900000
disabled,19,900000
disabled,20,900000
disabled,21,900000
disabled,22,900000
disabled,23,900000
disabled,24,900000
disabled,25,900000
disabled,26,900000
disabled,27,900000
disabled,28,900000
disabled,29,900000
disabled,30,900000
disabled,31,900000
disabled,32,900000
disabled,33,945107
disabled,34,1200000
disabled,35,1200000
disabled,36,1200000
disabled,37,1200000
disabled,38,1200000
disabled,39,1200000
disabled,40,1200000
disabled,41,1200000
disabled,42,1200000
disabled,43,1200000
disabled,44,1200000
disabled,45,1330685
disabled,46,1549096
disabled,47,1800000
disabled,48,1800000
disabled,49,1800000
disabled,50,1800000
disabled,51,1800000
disabled,52,2211563
disabled,53,2400000
disabled,54,2400000
disabled,55,2400000
disabled,56,2400000
disabled,57,2400000
disabled,58,2400000
disabled,59,2400000
disabled,60,2400000
disabled,61,2400000
disabled,62,2400000
disabled,63,2400000
disabled,64,2400000
