channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,0.56,0.009,False,0,no_sample,AUY346,-1.548,1.388,0,0,0,-1.537,1.417,-1.65,-1.773,-1.84,-10,-20,-30,159.47,-1.573,1.407,0,zero,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,55267
2,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
3,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
4,1,9160,2.83,0.73,True,46,no_sample,AUY346,1.657,1.311,0,1,1,1.675,1.315,8.606,15.763,23.203,-10,-20,-30,1.724,1.639,1.308,0,single_pore,0,20506,359,203.27,1.48,0,1,0,-195,2,9671,0,111.58,58.3,39383,0.0,0,12805,0,0,1975,0
5,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
6,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
7,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
8,1,992,3.7,0.702,True,66,no_sample,AUY346,1.913,1.321,0,0,0,1.997,1.3,8.622,15.453,22.654,-10,-20,-30,2.196,2.016,1.277,0,unavailable,0,8857,11736,195.7,1.48,0,1,0,-195,2,0,13837,,,9915,0.0,0,10056,0,0,9003,0
9,1,14553,2.9,0.722,True,63,no_sample,AUY346,2.226,1.387,0,1,1,2.176,1.403,9.089,16.166,23.533,-10,-20,-30,2.515,2.192,1.405,0,single_pore,0,15183,1234,206.22,1.57,0,1,0,-195,2,4365,0,115.45,59.3,34164,0.0,0,12644,0,0,6740,0
10,1,0,0.02,0.0,False,0,no_sample,AUY346,-1.126,0.994,0,0,0,-1.17,0.997,-1.117,-1.119,-1.119,-10,-20,-30,8367.5,-1.141,1.0,0,zero,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,55380
