Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,110,29,81,0,163685,19555,11685,9170,163685
2,364,71,164,0,559944,65847,39353,19344,360458
3,679,200,396,0,1046414,123219,73659,49656,917381
4,1016,310,596,0,1556533,183450,109666,75381,1382935
5,1383,432,864,0,2299456,269134,160927,107963,2001073
6,1590,501,1016,0,3176931,365690,218771,132571,3069718
7,1880,598,1221,0,3727270,429146,256724,159686,3631527
8,2185,670,1397,0,4444387,509381,304741,182389,4258059
9,2470,772,1617,0,4931279,565835,338500,209415,4765433
10,2770,857,1832,0,5394317,620287,371054,235063,5273738
11,3051,949,2026,0,5832400,671330,401560,258612,5707618
12,3284,1007,2204,0,6203874,714469,427349,278277,6089745
13,3678,1120,2423,0,6818622,786722,470541,306287,6618688
14,3945,1231,2645,0,7253035,836896,500536,334345,7145153
15,4226,1311,2853,0,7688858,888137,531163,358516,7598946
16,4502,1392,3053,0,8539051,987549,590699,383750,8449382
17,4806,1480,3238,0,9087537,1051896,629183,408140,8927306
18,5103,1578,3444,0,9564633,1107690,662543,434044,9431067
19,5391,1666,3662,0,10793793,1235327,739016,460208,9917363
20,5656,1745,3837,0,11226437,1285635,769092,482765,10381693
21,5930,1842,4024,0,11994856,1372647,821195,506235,10828006
22,6162,1909,4176,0,15252616,1714979,1026498,524403,11502126
23,6455,1991,4383,0,15762289,1773575,1061541,549583,12002544
24,6701,2085,4565,0,16134510,1817560,1087826,572234,12420038
25,6991,2177,4759,0,16576661,1869387,1118805,595816,12859384
26,7210,2236,4918,0,16911292,1908731,1142325,613543,13191528
27,7396,2289,5062,0,17211147,1943854,1163323,629899,13500400
28,7618,2337,5226,0,17562573,1985632,1188297,647551,13836403
29,7810,2386,5382,0,17878050,2022693,1210456,664781,14175787
30,8016,2425,5521,0,18233512,2063798,1235037,679661,14470347
31,8224,2469,5680,0,26574359,2970559,1779006,696476,14818299
32,8489,2550,5881,0,27562460,3080296,1844740,732766,15842844
33,8640,2603,6000,0,28081630,3136714,1878529,747648,16397282
34,8852,2659,6133,0,28427457,3176556,1902351,763069,16707747
35,9041,2714,6281,0,28822450,3221169,1929041,781961,17117574
36,9195,2755,6414,0,29164657,3259984,1952261,796567,17395380
37,9331,2790,6524,0,30825159,3448702,2065440,810153,17743969
38,9441,2801,6599,0,31001894,3469672,2077976,817392,17888812
39,9607,2838,6747,0,31257833,3499943,2096072,833039,18177213
40,9798,2878,6871,0,34394741,3842269,2301392,847026,18442358
41,9972,2915,7019,0,34660578,3874207,2320487,862228,18733390
42,10154,2948,7160,0,46321052,5150804,3086369,876767,19022701
43,10396,2992,7349,0,46702481,5196410,3113635,898607,19499118
44,10610,3034,7516,0,47058192,5238166,3138594,916260,19834833
45,10818,3072,7697,0,47398043,5278328,3162609,934778,20203145
46,10954,3111,7813,0,47629245,5305906,3179097,948298,20457265
47,11212,3177,7972,0,60506397,6692006,4010655,966962,20813585
