Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,302767
adapter,2,831336
adapter,3,1282802
adapter,4,1216279
adapter,5,1095711
adapter,6,1297294
adapter,7,1261622
adapter,8,1244322
adapter,9,1208651
adapter,10,941912
adapter,11,1009277
adapter,12,1251766
adapter,13,1108338
adapter,14,1180072
adapter,15,1272906
adapter,16,1172498
adapter,17,1103916
adapter,18,1323424
adapter,19,1219190
adapter,20,1123273
adapter,21,1138356
adapter,22,1309857
adapter,23,1158268
adapter,24,1025077
adapter,25,1113346
adapter,26,994840
adapter,27,1008186
adapter,28,1130807
adapter,29,1224574
adapter,30,1097423
adapter,31,967884
adapter,32,1195115
adapter,33,1161351
adapter,34,1245493
adapter,35,1242855
adapter,36,1167146
adapter,37,1168792
adapter,38,1120517
adapter,39,1042200
adapter,40,920051
adapter,41,938404
adapter,42,974070
adapter,43,843022
adapter,44,783490
adapter,45,745604
adapter,46,751983
adapter,47,708200
adapter,48,672739
adapter,49,783235
adapter,50,963939
adapter,51,714534
adapter,52,759596
adapter,53,674630
adapter,54,810420
adapter,55,851534
adapter,56,767958
adapter,57,788684
adapter,58,808543
adapter,59,716699
adapter,60,860247
adapter,61,819166
adapter,62,689501
adapter,63,735837
adapter,64,619634
adapter,65,728644
adapter,66,661946
adapter,67,775303
adapter,68,610785
adapter,69,651536
adapter,70,758406
adapter,71,735533
adapter,72,781701
adapter,73,706922
adapter,74,532592
adapter,75,516262
adapter,76,607314
adapter,77,565914
adapter,78,512407
adapter,79,527500
adapter,80,576183
adapter,81,508465
adapter,82,523178
adapter,83,537397
adapter,84,534176
adapter,85,510554
adapter,86,431799
adapter,87,363136
adapter,88,466096
adapter,89,496479
adapter,90,469453
adapter,91,543335
adapter,92,258745
adapter,93,0
adapter,94,0
adapter,95,281006
adapter,96,662585
adapter,97,902602
adapter,98,72126
disabled,0,0
disabled,1,0
disabled,2,0
disabled,3,0
disabled,4,0
disabled,5,0
disabled,6,494336
disabled,7,600000
disabled,8,793911
disabled,9,1168021
disabled,10,1200000
disabled,11,1200000
disabled,12,1200000
disabled,13,1200000
disabled,14,1200000
disabled,15,1200000
disabled,16,1200000
disabled,17,1200000
disabled,18,1200000
disabled,19,1200000
disabled,20,1200000
disabled,21,1200000
disabled,22,1200000
disabled,23,1200000
disabled,24,1200000
disabled,25,1200000
disabled,26,1200000
disabled,27,1457065
disabled,28,1635583
disabled,29,1805437
disabled,30,2108804
disabled,31,2400000
disabled,32,2400000
disabled,33,2400000
disabled,34,2439058
disabled,35,2700000
disabled,36,2700000
disabled,37,2700000
disabled,38,2700000
disabled,39,2700000
disabled,40,2700000
disabled,41,2777159
disabled,42,3000000
disabled,43,3000000
disabled,44,3000000
disabled,45,3000000
disabled,46,3291421
disabled,47,3300000
disabled,48,3300000
disabled,49,3465046
disabled,50,3600000
disabled,51,3600000
disabled,52,3807657
disabled,53,3900000
disabled,54,3900000
disabled,55,3900000
disabled,56,3900000
disabled,57,3900000
disabled,58,3900000
disabled,59,3900000
disabled,60,3900000
disabled,61,3900000
disabled,62,4148902
disabled,63,4343333
disabled,64,4707099
disabled,65,5061349
disabled,66,5536405
disabled,67,5700000
disabled,68,5700000
disabled,69,5700000
disabled,70,5700000
disabled,71,5700000
disabled,72,5991018
disabled,73,6000000
disabled,74,6000000
disabled,75,6000000
disabled,76,6000000
disabled,77,6000000
disabled,78,6000000
disabled,79,6000000
disabled,80,6000000
disabled,81,6044374
disabled,82,6538605
disabled,83,6600000
disabled,84,6746944
disabled,85,6900000
disabled,86,6900000
disabled,87,6900000
disabled,88,6900000
disabled,89,6900000
disabled,90,6900000
disabled,91,6900000
disabled,92,6900000
disabled,93,2795683
disabled,94,0
disabled,95,0
disabled,96,46497
disabled,97,300000
disabled,98,35519
locked,0,0
locked,1,0
locked,2,0
locked,3,0
locked,4,0
locked,5,0
locked,6,3584
locked,7,0
locked,8,7164
locked,9,5039
locked,10,0
locked,11,0
locked,12,0
locked,13,0
locked,14,0
locked,15,0
locked,16,0
locked,17,0
locked,18,0
locked,19,0
locked,20,0
locked,21,0
locked,22,0
locked,23,0
locked,24,0
locked,25,0
locked,26,0
locked,27,2240
locked,28,5003
locked,29,1353
locked,30,5004
locked,31,0
locked,32,0
locked,33,0
locked,34,5044
locked,35,0
locked,36,0
locked,37,0
locked,38,0
locked,39,0
locked,40,0
locked,41,4032
locked,42,0
locked,43,0
locked,44,0
locked,45,0
locked,46,1792
