channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,-0.31,0.0,False,0,no_sample,FLG114,-1.196,0.627,10,0,0,-1.212,0.643,-1.21,-1.194,-1.209,-10,-20,-30,-94.959,-1.217,0.634,0,zero,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,55315
2,1,0,0.02,0.0,False,0,no_sample,FLG114,-0.967,0.661,10,0,0,-0.962,0.659,-0.967,-0.968,-0.967,-10,-20,-30,-20.0,-0.955,0.657,0,zero,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,55251
3,1,0,0.06,0.0,False,0,no_sample,FLG114,-1.031,0.506,10,0,0,-1.041,0.51,-1.048,-1.054,-1.054,-10,-20,-30,2610.0,-1.046,0.508,0,zero,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,55249
4,1,0,0.1,0.0,False,0,no_sample,FLG114,-1.088,0.485,10,0,0,-1.082,0.476,-1.08,-1.08,-1.07,-10,-20,-30,-1635.0,-1.072,0.48,0,zero,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,55258
5,1,3397,2.72,0.734,True,164,no_sample,FLG114,0.784,1.417,10,1,1,7.611,1.462,14.656,21.857,29.33,-10,-20,-30,9.91,4.06,1.446,0,single_pore,0,29402,20161,210.42,1.51,0,1,5,-190,3,0,0,,,32963,0.0,0,0,0,0,2426,0
6,1,424,4.84,0.746,True,77,no_sample,FLG114,0.174,1.45,10,0,0,7.043,1.487,14.054,21.273,28.976,-10,-20,-30,8.718,3.515,1.453,0,unavailable,0,2745,38446,204.17,3.85,0,1,5,-190,3,0,0,,,3246,0.0,0,11270,0,0,1180,15
7,1,6873,4.9,0.754,True,92,no_sample,FLG114,0.659,1.395,10,1,1,7.574,1.439,14.609,21.903,29.687,-10,-20,-30,9.259,4.043,1.38,0,single_pore,0,32858,232,210.01,1.47,0,1,5,-190,3,0,0,,,39823,0.0,0,13333,0,0,685,0
8,1,5823,6.15,0.657,True,298,no_sample,FLG114,1.0,1.427,10,1,1,7.008,1.436,13.882,20.142,27.017,-10,-20,-30,10.959,4.422,1.392,0,single_pore,0,30175,17882,211.41,1.48,0,1,5,-190,3,0,0,,,36296,0.0,0,0,0,0,1162,0
9,1,0,4.03,0.641,True,3,no_sample,FLG114,0.112,1.484,10,0,0,5.659,1.579,12.207,18.418,25.032,-10,-20,-30,8.922,2.945,1.487,0,other,0,0,55748,,,0,1,5,-190,3,0,0,,,3,0.0,0,0,0,0,16,0
10,1,0,-8.65,0.265,False,0,no_sample,FLG114,-0.907,1.43,10,1,1,1.983,1.509,4.273,7.356,9.574,-10,-20,-30,6.431,0.831,1.552,0,single_pore,0,0,9,,,0,1,5,-190,3,25015,5000,71.2,42.3,25015,0.0,0,25027,0,0,12,0
