Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,13,5,8,0,43512,5024,3010,1742,43512
2,49,12,18,0,102790,11941,7146,3220,67705
3,100,29,58,0,444104,52678,31569,14558,423084
4,163,42,101,0,544117,64279,38507,19369,509916
5,210,57,140,0,1124965,127457,76392,24496,611112
6,274,71,179,0,3121824,346559,207827,34273,1235164
7,325,90,211,0,3238606,359480,215557,39601,1338131
8,398,117,256,0,3404033,378411,226883,47591,1498859
9,453,136,303,0,3494984,389069,233251,54082,1632913
10,513,149,342,0,3611500,402438,241248,58325,1729600
11,568,172,375,0,3724155,415502,249064,64625,1841680
12,618,192,403,0,3877664,432560,259281,68903,1944625
13,670,212,437,0,4221750,469296,281301,75267,2088441
14,726,227,477,0,4368492,486584,291652,84864,2450639
15,780,248,516,0,4536564,505580,303031,96691,2667672
16,845,269,548,0,4643967,518100,310516,101772,2758891
17,919,297,600,0,4773220,533017,319438,108672,2894008
18,983,321,641,0,4876661,545196,326721,114797,3002205
19,1038,333,691,0,4974793,556377,333404,120203,3112339
20,1095,349,725,0,5098735,570235,341697,124955,3216976
21,1147,370,759,0,10473859,1168906,700878,130971,3662159
22,1213,379,810,0,10623927,1186240,711251,137522,3797594
23,1289,400,867,0,10773102,1203657,721671,145072,3933474
24,1347,418,911,0,12336691,1376377,825279,150519,4061454
25,1408,433,961,0,13505427,1499510,899134,171866,5803267
26,1461,452,992,0,13597517,1510014,905413,176029,5891198
27,1516,469,1032,0,19421334,2115525,1268701,183201,6005832
28,1587,490,1076,0,19838060,2163027,1297176,195976,6402744
29,1658,515,1123,0,20000625,2181412,1308177,202925,6575546
30,1714,534,1158,0,20364424,2219799,1331186,208218,6907173
31,1773,549,1204,0,20513892,2236513,1341192,215210,7091691
32,1837,570,1242,0,33218476,3574458,2143934,220647,7199151
33,1923,601,1294,0,33458997,3601764,2160282,229640,7397574
34,1998,625,1352,0,33597426,3617892,2169925,238530,7582330
35,2077,654,1402,0,33759384,3636766,2181218,247083,7745513
36,2146,670,1453,0,43646396,4689060,2812566,252714,7864071
37,2212,695,1495,0,51525660,5538798,3322387,258688,8140774
38,2284,715,1545,0,51663127,5554586,3331831,265894,8279922
39,2341,741,1581,0,51755607,5565471,3338338,272035,8386673
40,2400,753,1623,0,53051615,5698242,3417976,277477,8500871
41,2459,774,1664,0,53210404,5716352,3428814,285440,8688915
42,2518,800,1700,0,53328073,5730099,3437034,292421,8816625
43,2572,810,1733,0,53437704,5742456,3444424,296354,8903887
44,2630,829,1781,0,53551580,5755510,3452235,303014,9035777
45,2675,848,1804,0,53651313,5766395,3458748,306776,9120091
46,2730,875,1835,0,53757465,5779047,3466315,312537,9232306
47,2780,892,1872,0,53858356,5790321,3473062,318223,9347470
48,2824,902,1901,0,54017552,5807515,3483360,324419,9493265
49,2891,921,1945,0,54148222,5822491,3492322,330549,9615824
50,2970,938,2007,0,54288499,5838489,3501892,337179,9760884
51,3021,946,2047,0,54382024,5849299,3508358,341516,9853284
52,3079,967,2087,0,62180369,6636309,3980542,346509,9953952
53,3134,981,2130,0,62284959,6648373,3987754,352011,10060945
54,3203,1001,2175,0,64785550,6916456,4148576,357944,10181674
55,3254,1015,2217,0,66331017,7075589,4244030,362840,10312393
56,3310,1036,2253,0,66421916,7086247,4250402,367928,10409138
57,3367,1047,2297,0,66678532,7114115,4267100,372951,10509773
58,3434,1061,2347,0,67638628,7220330,4330804,379461,10778006
59,3498,1078,2391,0,67772257,7236278,4340346,387138,10905082
60,3579,1106,2443,0,71087621,7578772,4545810,397856,11322143
61,3659,1135,2490,0,71221831,7593879,4554843,404863,11453091
62,3714,1147,2545,0,71332732,7606100,4562151,410292,11586399
63,3772,1165,2582,0,71596164,7634620,4579235,416614,11848296
64,3824,1181,2623,0,71683166,7644743,4585289,421368,11940960
65,3875,1191,2657,0,71766692,7654221,4590954,425048,12011574
66,3927,1207,2698,0,72270493,7707863,4623118,431510,12163882
67,3996,1220,2745,0,72397024,7722330,4631768,438272,12634530
68,4043,1240,2780,0,72491697,7733423,4638404,444452,12739084
69,4111,1260,2828,0,72606585,7746409,4646164,450047,12859914
70,4176,1277,2873,0,74838730,7993544,4794420,455398,12961995
71,4260,1295,2933,0,74995213,8011347,4805065,462963,13115602
72,4313,1313,2974,0,75091022,8022220,4811567,468032,13222203
73,4366,1322,3025,0,95594427,10094697,6055027,766224,75952209
74,4409,1336,3058,0,95684143,10105518,6061499,775895,76270611
75,4446,1346,3088,0,107434674,11365377,6817399,849215,97769092
76,4497,1365,3122,0,108345534,11464895,6877092,864124,98688175
77,4537,1381,3149,0,108444516,11476148,6883822,868963,98783464
78,4577,1395,3171,0,111693248,11809258,7083672,873353,98867283
79,4641,1407,3219,0,111820955,11823351,7092103,878466,98983290
80,4677,1426,3245,0,111899405,11832166,7097378,883206,99081528
81,4724,1435,3274,0,113860157,12031600,7217018,887084,99167054
82,4776,1458,3307,0,114237064,12071197,7240757,893180,99280706
83,4826,1467,3349,0,114336246,12082549,7247547,897492,99657681
84,4871,1479,3374,0,114414427,12091623,7252977,900867,99727292
