channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,-0.2,0.0,False,0,Not_optimized,AUC893,-1.121,0.653,10,0,0,-1.069,0.645,-1.077,-1.065,-1.073,-10,-20,-30,-594.107,-1.098,0.644,0,zero,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,55282
2,1,0,-0.43,0.296,False,340,Not_optimized,AUC893,-0.137,1.688,10,0,0,2.079,1.681,5.145,8.13,11.072,-10,-20,-30,7.385,0.71,1.626,549,multiple,0,2845,20491,172.78,2.1,0,1,5,-190,3,5016,15009,95.81,49.1,0,0.0,0,2675,0,0,8022,0
3,1,55,14.43,0.429,True,11,Not_optimized,AUC893,-0.022,1.553,10,0,0,4.089,1.556,7.45,11.021,16.035,-10,-20,-30,6.546,1.284,1.552,0,unavailable,0,133,5619,212.68,2.18,0,1,5,-190,3,0,15516,,,199,0.0,0,18582,0,0,5023,0
4,1,0,-2.06,0.62,True,7,Not_optimized,AUC893,-0.528,1.585,10,0,0,5.221,1.619,11.373,17.68,23.781,-10,-20,-30,8.384,2.31,1.595,0,other,0,781,54855,180.93,2.49,0,1,5,-190,3,0,0,,,788,0.0,0,0,0,0,244,0
5,1,0,,,False,0,Not_optimized,AUC893,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,0
6,1,1010,2.71,0.67,True,564,Not_optimized,AUC893,-0.137,1.512,10,1,1,5.984,1.547,12.489,19.049,25.88,-10,-20,-30,8.581,2.806,1.534,0,single_pore,0,44831,3922,186.21,1.58,0,1,5,-190,3,0,0,,,46405,0.0,0,0,0,0,4979,0
7,1,757,1.0,0.666,True,464,Not_optimized,AUC893,0.147,1.479,10,1,1,6.299,1.494,12.646,19.259,25.972,-10,-20,-30,8.954,3.123,1.478,0,single_pore,0,42799,8212,186.38,1.55,0,1,5,-190,3,0,0,,,44020,0.0,0,0,0,0,3728,75
8,1,0,2.65,0.677,True,549,Not_optimized,AUC893,0.463,1.546,10,1,1,6.737,1.51,13.18,19.822,26.729,-10,-20,-30,9.386,3.48,1.523,0,single_pore,0,44615,5585,188.67,1.54,0,1,5,-190,3,0,0,,,45164,0.0,0,0,0,0,5328,171
9,1,0,0.43,0.415,True,53,Not_optimized,AUC893,-1.581,1.547,10,0,0,2.57,1.747,7.388,11.513,15.681,-10,-20,-30,7.8,1.774,1.562,0,unavailable,0,0,510,,,0,1,5,-190,3,5002,0,130.38,60.6,5055,0.0,0,33292,0,0,7138,0
10,1,0,,,False,0,Not_optimized,AUC893,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,5,-190,3,0,0,,,0,0.0,0,0,0,0,0,0
11,1,590,1.11,0.655,True,234,Not_optimized,AUC893,0.537,1.535,10,1,1,6.6,1.543,12.798,19.293,25.899,-10,-20,-30,9.508,3.449,1.537,0,single_pore,0,31151,20831,184.1,1.61,0,1,5,-190,3,0,0,,,31975,0.0,0,0,0,0,2429,0
12,1,450,2.46,0.653,True,253,Not_optimized,AUC893,0.088,1.531,10,1,1,5.85,1.596,12.424,18.831,25.484,-10,-20,-30,8.96,3.014,1.583,0,single_pore,0,35044,14444,188.19,1.65,0,1,5,-190,3,1529,0,114.4,66.1,37276,0.0,0,0,0,0,3878,0
13,1,0,-5.01,0.251,False,18,Not_optimized,AUC893,0.256,1.672,10,0,0,4.661,1.802,6.372,9.131,11.389,-10,-20,-30,15.616,2.417,1.634,0,unavailable,0,145,12065,190.97,3.15,0,1,5,-190,3,5009,23627,87.16,30.3,5172,0.0,0,8170,0,0,7098,0
14,1,0,-14.08,0.386,False,3,Not_optimized,AUC893,-0.014,1.687,10,0,0,6.69,1.716,11.8,16.367,19.526,-10,-20,-30,20.703,2.57,1.761,0,unavailable,0,647,19467,189.05,2.44,0,1,5,-190,3,8023,16211,128.29,47.6,8673,0.0,0,13200,0,0,3,0
15,1,0,12.94,0.536,True,0,Not_optimized,AUC893,-0.076,1.529,10,0,0,5.364,1.537,10.297,15.012,21.021,-10,-20,-30,8.662,2.029,1.529,0,unavailable,0,0,246,,,0,1,5,-190,3,0,0,,,0,0.0,0,44075,0,0,5,0
16,1,376,3.44,0.668,True,21141,Not_optimized,AUC893,0.177,1.54,10,1,1,6.138,1.522,12.746,19.255,26.108,-10,-20,-30,8.986,3.139,1.543,0,single_pore,0,36,8286,192.4,1.4,0,1,5,-190,3,0,0,,,21553,0.0,0,0,0,0,25463,0
