filename_fastq	filename_fast5	filename_pod5	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	59290304-5e50-4ee9-813b-7618915d55e9	59290304-5e50-4ee9-813b-7618915d55e9	85754a2fd6a8709a801bb6fc68d53b83c493dad5	31	1	160	80.783800	0.278800	TRUE	80.785800	230	0.276800	74	13.299433	0.000000	111.823021	26.878374	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_fail_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_fail_0f4562c7_85754a2f_0.pod5	f611ce18-4834-43f2-b78c-f26300e07110	f611ce18-4834-43f2-b78c-f26300e07110	85754a2fd6a8709a801bb6fc68d53b83c493dad5	25	1	3230	74.109200	5.527400	FALSE	74.111200	4604	5.525400	672	4.854323	0.000000	117.501137	29.823950	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	60f24f65-6bee-4aac-9a55-93f98157929f	60f24f65-6bee-4aac-9a55-93f98157929f	85754a2fd6a8709a801bb6fc68d53b83c493dad5	12	1	174	80.761200	0.305800	TRUE	80.763200	253	0.303800	77	12.461852	0.000000	112.763199	32.278599	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	ef996c77-c854-4b7b-b3ac-13a482b792a2	ef996c77-c854-4b7b-b3ac-13a482b792a2	85754a2fd6a8709a801bb6fc68d53b83c493dad5	52	1	165	82.235800	0.287400	TRUE	82.237800	237	0.285400	79	12.683041	0.000000	112.777092	30.560341	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	d782b527-6a2e-451a-9e67-b71b0969e89d	d782b527-6a2e-451a-9e67-b71b0969e89d	85754a2fd6a8709a801bb6fc68d53b83c493dad5	52	1	164	80.928200	0.297200	TRUE	80.930200	246	0.295200	86	14.372002	0.000000	114.194305	23.687334	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_fail_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_fail_0f4562c7_85754a2f_0.pod5	f78734dd-a214-4f1c-9cdf-b0a356da6457	f78734dd-a214-4f1c-9cdf-b0a356da6457	85754a2fd6a8709a801bb6fc68d53b83c493dad5	14	1	367	79.607200	0.604600	FALSE	79.609200	502	0.602600	162	5.423514	0.000000	137.809860	16.077930	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	15f33b37-0aea-46cb-b7e8-4404af6913eb	15f33b37-0aea-46cb-b7e8-4404af6913eb	85754a2fd6a8709a801bb6fc68d53b83c493dad5	77	1	151	149.889400	0.246000	TRUE	149.891400	203	0.244000	82	19.385044	0.000000	112.059227	24.178265	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_fail_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_fail_0f4562c7_85754a2f_0.pod5	56fe93c8-3c2e-4df5-9ee0-6fc834ed05b5	56fe93c8-3c2e-4df5-9ee0-6fc834ed05b5	85754a2fd6a8709a801bb6fc68d53b83c493dad5	90	1	211	145.276000	0.426800	FALSE	145.278000	354	0.424800	57	4.320196	0.000000	111.345985	18.041649	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	0e9506a1-673a-48f0-a5a1-69afdbb2140c	0e9506a1-673a-48f0-a5a1-69afdbb2140c	85754a2fd6a8709a801bb6fc68d53b83c493dad5	71	1	488	149.962200	0.950400	TRUE	149.964200	790	0.948400	256	12.025406	0.000000	97.773651	27.492035	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_fail_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_fail_0f4562c7_85754a2f_0.pod5	9925aa8c-7d23-4c0d-8e2a-f059b7b91ba9	9925aa8c-7d23-4c0d-8e2a-f059b7b91ba9	85754a2fd6a8709a801bb6fc68d53b83c493dad5	58	1	294	145.415000	0.504000	FALSE	145.417000	418	0.502000	147	8.970110	0.000000	106.452904	31.664934	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
AUC893_pass_0f4562c7_85754a2f_0.fastq.gz	-	AUC893_pass_0f4562c7_85754a2f_0.pod5	588b289c-6256-4011-bcad-58c8f105e631	588b289c-6256-4011-bcad-58c8f105e631	85754a2fd6a8709a801bb6fc68d53b83c493dad5	98	1	336	162.940000	0.630400	TRUE	162.998000	477	0.572400	68	14.357714	0.000000	114.138725	15.341538	not_set	2024_06_07_40bp_standard	Not_optimized	signal_positive
