Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,6,4,2,0,36506,4260,2555,1150,36506
2,14,8,4,0,61561,7187,4308,1840,51574
3,28,15,12,0,155045,18095,10849,5321,153623
4,36,21,14,0,172076,20035,12009,6062,170639
5,57,36,18,0,217082,25526,15292,8827,212915
6,70,44,20,0,259916,30035,17994,9697,232575
7,81,52,28,0,280258,32455,19441,11185,278925
8,89,60,28,0,296897,34227,20500,11832,291102
9,104,75,28,0,325080,37561,22496,13442,322081
10,117,83,33,0,883896,93011,55762,23414,881856
11,121,88,33,0,893274,94169,56454,24215,893274
12,129,93,35,0,962319,101737,60992,26152,957792
13,141,101,35,0,989388,104912,62893,27335,976852
14,155,118,36,0,1014772,107840,64644,29290,1012667
15,173,133,37,0,1268499,134076,80378,32670,1262277
16,183,143,38,0,1292645,136964,82107,33970,1284599
17,196,153,40,0,1320222,140354,84135,36155,1315286
18,211,165,44,0,1350452,143799,86196,37866,1347526
19,220,172,46,0,1368560,146001,87515,38803,1365343
20,249,190,53,0,1741681,185212,111031,48607,1723538
21,269,201,62,0,1883090,201324,120688,53602,1866515
22,285,213,68,0,1919030,205356,123100,55924,1912614
23,300,224,71,0,2248676,240332,144079,62582,2226238
24,311,233,76,0,2268942,242800,145557,64102,2266421
25,323,243,78,0,2328914,250215,150001,66286,2322112
26,338,253,82,0,2370175,255099,152926,68695,2364178
27,348,261,84,0,2396168,258133,154742,70200,2388585
28,361,267,88,0,3286519,353274,211819,72032,2429667
29,381,285,94,0,3342216,359821,215740,75987,2507113
30,391,292,97,0,3374369,363618,218013,77568,2538399
31,412,302,100,0,3415547,368326,220830,78722,2561871
32,427,315,110,0,3467073,374394,224466,81763,2632023
33,445,329,113,0,4102099,441045,264451,91350,3265133
34,463,343,118,0,4149508,446457,267690,93998,3312697
35,482,355,120,0,4195461,451712,270836,96441,3352173
36,495,366,127,0,4225607,455250,272952,98185,3388641
37,512,379,129,0,4260588,459301,275375,100093,3422500
38,526,390,130,0,5141391,549295,329365,101415,3443853
39,532,397,133,0,5153431,550780,330254,102634,3469089
40,545,404,136,0,5188108,554330,332377,103429,3495042
41,561,414,138,0,5221560,558300,334752,104824,3523968
42,577,424,144,0,5305138,568253,340717,108487,3603903
43,588,433,152,0,5628279,605339,362964,118936,3940967
44,608,443,159,0,5829557,627908,376498,124396,4135745
45,629,452,169,0,6015405,649253,389296,127569,4241488
46,650,464,181,0,6966675,751173,450441,150363,5136761
47,682,480,197,0,7269703,784728,470560,162121,5569482
48,702,490,207,0,7874197,856011,513323,166044,5672629
49,725,501,217,0,8758637,953855,572019,187402,6259348
50,740,511,224,0,8888019,968208,580624,192361,6387515
51,754,520,227,0,10099269,1102436,661155,207574,6895921
52,767,530,231,0,10326931,1129889,677621,216486,7130359
53,781,539,235,0,10456112,1143927,686037,219402,7258450
54,789,547,238,0,10543859,1153918,692028,221598,7350555
55,807,556,240,0,10658230,1167355,700084,225254,7417933
56,823,566,251,0,10825592,1186542,711590,231889,7611635
57,852,578,263,0,11412635,1253264,751611,250154,8207165
58,870,585,276,0,11851128,1303245,781590,261763,8629876
59,887,597,284,0,12549177,1380057,827670,275125,9309264
60,903,606,292,0,12930456,1422855,853343,286668,9734786
61,914,613,295,0,13445902,1479990,887619,298167,10110598
62,928,624,300,0,13592978,1496998,897816,309042,10399674
63,942,634,302,0,13627275,1501178,900318,310465,10428842
64,952,643,304,0,13646518,1503395,901645,311624,10451877
65,967,653,310,0,13832148,1524566,914344,318293,10638844
66,985,662,317,0,14021848,1545916,927148,323575,10825178
67,1008,670,328,0,14478022,1596206,957311,328708,11033774
68,1034,683,339,0,14726914,1624876,974502,341771,11468472
69,1052,696,345,0,15015866,1657497,994068,346514,11604129
70,1076,710,354,0,17317434,1901924,1140715,358287,12040420
71,1114,726,370,0,17627918,1937710,1162171,362858,12146100
72,1134,742,383,0,18054491,1984899,1190477,372595,12473447
73,1155,748,391,0,18229110,2004412,1202176,384644,12939702
74,1171,760,404,0,18515786,2036337,1221325,395708,13261611
75,1185,769,411,0,18558935,2041237,1224261,397687,13310779
76,1210,786,417,0,18689966,2055808,1232995,402211,13437466
77,1220,791,423,0,20036696,2208311,1324494,424456,13967864
78,1237,801,431,0,20588216,2270467,1361780,441262,14521580
79,1250,809,435,0,20686984,2281264,1368253,443404,14618861
80,1268,823,440,0,20837035,2298080,1378336,448999,14770399
81,1281,827,448,0,21186793,2336052,1401114,459603,15118291
82,1295,835,451,0,21428560,2361725,1416511,462948,15223166
83,1308,844,458,0,21514428,2371584,1422421,468057,15446118
84,1323,854,462,0,21927764,2417231,1449801,476332,15712652
85,1341,866,467,0,22165185,2444454,1466129,557896,18777677
86,1362,873,475,0,22313747,2461429,1476305,566820,19071817
87,1380,888,487,0,23169988,2556312,1533228,592470,19824582
88,1389,889,497,0,23325407,2574150,1543926,601458,20132103
89,1397,894,504,0,43963638,4733033,2839253,765037,43963638
