channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,-0.27,0.0,False,0,no_sample,ATZ625,-1.452,0.644,0,0,0,-1.46,0.635,-1.453,-1.435,-1.444,-10,-20,-30,-822.222,-1.44,0.637,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,55274
2,1,2724,8.83,0.727,True,276,no_sample,ATZ625,2.419,1.796,0,1,1,2.536,1.747,9.468,16.299,24.013,-10,-20,-30,2.789,2.455,1.743,0,single_pore,0,33303,10261,210.05,2.02,0,1,0,-195,3,0,0,,,36303,0.0,0,7711,0,0,409,379
3,1,2370,2.77,0.75,True,202,no_sample,ATZ625,2.199,1.633,0,1,1,2.241,1.59,9.294,16.657,24.297,-10,-20,-30,2.325,2.194,1.61,0,single_pore,0,25150,11843,210.69,1.68,0,1,0,-195,3,0,0,,,27722,0.0,0,13433,0,0,760,388
4,1,2484,4.28,0.746,True,148,no_sample,ATZ625,1.72,1.608,0,1,1,1.71,1.592,8.761,16.01,23.687,-10,-20,-30,1.638,1.668,1.603,0,single_pore,0,20911,21088,208.84,1.67,0,1,0,-195,3,5734,0,105.75,62.9,29277,0.0,0,5004,0,0,2592,24
5,1,0,3.89,0.709,True,31,no_sample,ATZ625,1.499,1.661,0,0,0,1.413,1.663,8.584,15.48,22.765,-10,-20,-30,2.009,1.644,1.633,0,unavailable,0,10484,17033,198.93,1.76,0,1,0,-195,3,0,0,,,10515,0.0,0,16123,0,0,23,15057
6,1,652,2.21,0.732,True,106,no_sample,ATZ625,2.247,1.625,0,1,1,2.178,1.612,9.195,16.409,23.844,-10,-20,-30,2.502,2.226,1.632,0,single_pore,0,19863,32769,206.49,1.73,0,1,0,-195,3,0,0,,,20621,0.0,0,0,0,0,1275,0
7,1,0,3.44,0.742,True,3,no_sample,ATZ625,2.195,1.606,0,0,0,2.355,1.543,9.343,16.595,24.191,-10,-20,-30,2.504,2.344,1.584,0,other,0,3267,53616,194.33,1.49,0,1,0,-195,3,0,0,,,3270,0.0,0,0,0,0,34,0
8,1,1770,2.51,0.743,True,124,no_sample,ATZ625,2.306,1.527,0,0,0,2.452,1.511,9.46,16.768,24.327,-10,-20,-30,2.668,2.39,1.476,0,other,0,5553,49818,207.98,1.69,0,1,0,-195,3,0,0,,,7447,0.0,0,0,0,0,349,0
9,1,0,2.69,0.73,True,145,no_sample,ATZ625,2.693,1.573,0,1,1,2.792,1.544,9.654,16.817,24.249,-10,-20,-30,3.165,2.753,1.522,0,single_pore,0,29372,27163,205.02,1.69,0,1,0,-195,3,0,0,,,29517,0.0,0,0,0,0,999,0
10,1,1390,1.71,0.723,True,225,no_sample,ATZ625,2.314,1.503,0,1,1,2.404,1.513,9.116,16.256,23.567,-10,-20,-30,2.576,2.364,1.526,0,single_pore,0,27731,24943,201.93,1.69,0,1,0,-195,3,0,0,,,29346,0.0,0,0,0,0,814,740
11,1,377,2.99,0.725,True,325,no_sample,ATZ625,2.457,1.566,0,1,1,2.556,1.52,9.407,16.503,23.898,-10,-20,-30,2.911,2.535,1.554,0,single_pore,0,37360,5706,202.98,1.64,0,1,0,-195,3,0,0,,,38062,0.0,0,12634,0,0,669,0
12,1,758,2.13,0.721,True,0,no_sample,ATZ625,2.038,1.63,0,0,0,2.109,1.622,8.643,15.747,23.064,-10,-20,-30,1.936,2.065,1.62,0,unavailable,0,402,935,202.12,1.75,0,1,0,-195,3,0,0,,,1160,0.0,0,50955,0,0,7,0
13,1,0,0.01,0.0,False,0,no_sample,ATZ625,-1.146,0.61,0,0,0,-1.156,0.584,-1.155,-1.151,-1.146,-10,-20,-30,-2566.557,-1.147,0.592,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,55133
14,1,2940,2.48,0.755,True,168,no_sample,ATZ625,2.694,1.825,0,1,1,2.741,1.786,9.724,17.152,24.828,-10,-20,-30,2.819,2.688,1.779,0,single_pore,0,35339,2259,212.42,1.91,0,1,0,-195,3,0,0,,,38447,0.0,0,12443,0,0,998,0
15,1,3022,2.59,0.745,True,356,no_sample,ATZ625,2.122,1.576,0,1,1,2.181,1.589,9.262,16.58,24.157,-10,-20,-30,2.376,2.201,1.578,0,single_pore,0,39636,702,207.53,1.67,0,1,0,-195,3,0,0,,,43014,0.0,0,10005,0,0,1150,32
16,1,878,2.61,0.745,True,220,no_sample,ATZ625,2.103,1.661,0,1,1,2.276,1.624,9.325,16.649,24.234,-10,-20,-30,2.449,2.206,1.629,0,single_pore,0,45918,5627,207.95,1.89,0,1,0,-195,3,0,0,,,47016,0.0,0,0,0,0,3883,0
17,1,0,,,False,0,no_sample,ATZ625,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
18,1,0,-2.38,0.473,True,0,no_sample,ATZ625,1.108,1.629,0,0,0,0.708,1.596,5.432,10.283,14.896,-10,-20,-30,1.559,0.422,1.597,0,unavailable,0,0,13,,,0,1,0,-195,3,0,28796,,,0,0.0,0,10380,0,0,5000,0
19,1,1627,1.73,0.73,True,95,no_sample,ATZ625,1.385,1.506,0,1,1,1.488,1.453,8.326,15.539,22.925,-10,-20,-30,1.366,1.44,1.496,0,single_pore,0,32002,314,204.34,1.61,0,1,0,-195,3,0,5007,,,33724,0.0,0,10066,0,0,1866,4969
