filename_fastq	filename_fast5	filename_pod5	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	2259e4cf-4312-4338-baac-ff6a006afea8	2259e4cf-4312-4338-baac-ff6a006afea8	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	62	1	168	74.872200	0.283000	FALSE	74.874200	234	0.281000	76	4.559248	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_pass_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	175e7055-90c5-4b18-a3ad-8ccdba6a9db7	175e7055-90c5-4b18-a3ad-8ccdba6a9db7	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	4	1	352	75.651200	0.610000	TRUE	75.653200	506	0.608000	242	11.327971	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	24c5d4cc-e5c9-42da-8a57-77e84e31c55f	24c5d4cc-e5c9-42da-8a57-77e84e31c55f	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	70	1	157	75.094000	0.263200	FALSE	75.096000	217	0.261200	82	5.034428	0.000000	-385.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	f5719e03-8e85-4271-813f-4c0ba25019f8	f5719e03-8e85-4271-813f-4c0ba25019f8	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	58	1	175	73.409000	0.295800	FALSE	73.411000	244	0.293800	83	5.978623	0.000000	-385.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_pass_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	49a143d6-8ac7-4483-b8a1-ff75b9c3619e	49a143d6-8ac7-4483-b8a1-ff75b9c3619e	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	4	1	348	78.036600	0.536800	TRUE	78.038600	445	0.534800	244	11.157838	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	95bdef57-cb70-43ff-ab9b-45673c4c832c	95bdef57-cb70-43ff-ab9b-45673c4c832c	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	125	1	467	78.573200	0.862400	FALSE	78.575200	717	0.860400	65	5.765037	0.000000	-391.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	043a0eb6-6faf-4fc1-a6eb-c9c2f81cad8c	043a0eb6-6faf-4fc1-a6eb-c9c2f81cad8c	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	119	1	154	80.665800	0.248800	FALSE	80.667800	205	0.246800	80	5.701787	0.000000	-392.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	82d733cf-5d07-4158-8af8-8f130c971862	82d733cf-5d07-4158-8af8-8f130c971862	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	85	1	162	85.095600	0.298400	FALSE	85.097600	247	0.296400	81	4.471621	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	b9da0779-c325-425a-82e2-623602629179	b9da0779-c325-425a-82e2-623602629179	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	86	1	211	80.270200	0.366000	FALSE	80.272200	303	0.364000	69	3.245878	0.000000	-385.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	52f36ac2-7571-4cf1-9e09-058fe49cdc30	52f36ac2-7571-4cf1-9e09-058fe49cdc30	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	112	1	176	81.545200	0.299800	FALSE	81.547200	248	0.297800	75	7.028375	0.000000	-385.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	9b0c0291-00d9-4811-ba4b-28149c130a03	9b0c0291-00d9-4811-ba4b-28149c130a03	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	99	1	153	81.214000	0.270200	FALSE	81.216000	223	0.268200	76	7.826358	0.000000	-393.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_pass_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	43ef1410-dba4-44bb-9c46-f0ba593a9c86	43ef1410-dba4-44bb-9c46-f0ba593a9c86	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	112	1	161	149.000600	0.302200	TRUE	149.002600	250	0.300200	83	16.304913	0.000000	-385.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	07820618-58e1-4484-9267-db60e35083f1	07820618-58e1-4484-9267-db60e35083f1	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	117	1	162	148.193600	0.256800	FALSE	148.195600	212	0.254800	66	5.856152	0.000000	-393.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	2cad6996-f0e6-4ffc-bc08-5cefbad7d5a7	2cad6996-f0e6-4ffc-bc08-5cefbad7d5a7	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	87	1	165	153.527600	0.300000	FALSE	153.529600	248	0.298000	71	5.105126	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	25ce11f0-370f-4469-880a-9925a5b2842a	25ce11f0-370f-4469-880a-9925a5b2842a	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	54	1	152	158.358400	0.237800	FALSE	158.360400	196	0.235800	81	5.827896	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_pass_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	ccfe6217-471a-49d7-82f1-e8d138f48133	ccfe6217-471a-49d7-82f1-e8d138f48133	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	53	1	229	155.473600	0.452800	TRUE	155.475600	375	0.450800	88	9.786687	0.000000	-396.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	0b0f6275-849f-46ab-92f1-31d4139a3e7e	0b0f6275-849f-46ab-92f1-31d4139a3e7e	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	4	1	208	153.506200	0.401200	FALSE	153.508200	332	0.399200	78	6.395192	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	00b9c98c-6649-42f6-9454-a90151db224b	00b9c98c-6649-42f6-9454-a90151db224b	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	122	1	185	152.927200	0.373600	FALSE	152.929200	309	0.371600	24	3.961668	0.000000	-395.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
ATZ625_fail_f7f67f5b_3fc930b9_0.fastq.gz	-	ATZ625_f7f67f5b_3fc930b9_0.pod5	131d3918-eed7-40c0-bd06-ff0a31c5e279	131d3918-eed7-40c0-bd06-ff0a31c5e279	3fc930b94fe32ee8ce1f4d442e6c02390c16fb9f	107	1	166	149.786800	0.328800	FALSE	149.788800	272	0.326800	91	8.973787	0.000000	-394.482849	0.009931	not_set	20240625_40bp_standard	no_sample	signal_positive
