Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,11,2,9,0,21672,2523,1509,1173,21672
2,31,7,17,0,52801,6056,3622,2179,41690
3,60,15,35,0,128936,14428,8632,4613,113096
4,88,21,55,0,177340,19996,11962,6656,161157
5,121,27,78,0,236393,26562,15888,8965,203017
6,157,35,108,0,307383,34612,20703,12507,275834
7,179,44,127,0,344903,38977,23316,14959,329880
8,214,55,153,0,424207,48081,28765,19234,401413
9,242,61,171,0,487671,55033,32926,21868,473286
10,276,66,200,0,544308,61622,36863,24670,527251
11,312,76,224,0,607736,68771,41138,27671,584649
12,345,87,248,0,659620,74819,44756,30608,643444
13,377,98,271,0,728372,82796,49530,34506,712102
14,416,107,300,0,804297,91191,54554,38067,782837
15,454,116,324,0,880436,99905,59765,41059,849100
16,486,125,353,0,951024,107640,64393,44693,932334
17,520,135,376,0,1008376,114298,68375,47800,989853
18,549,143,393,0,1055064,119554,71519,49871,1031740
19,582,156,417,0,1105372,125506,75074,53192,1087581
20,618,166,439,0,1169439,132719,79385,56176,1142961
21,643,173,464,0,1224156,138817,83033,58940,1203001
22,667,183,477,0,1263689,143305,85718,61426,1249120
23,695,190,499,0,2983108,319222,191257,63577,1297255
24,725,201,515,0,3034185,325102,194773,66146,1344080
25,761,213,537,0,3092923,331731,198739,68905,1400107
26,804,227,566,0,3159282,339750,203532,72650,1467077
27,846,240,595,0,3228685,347967,208442,76779,1536309
28,874,250,617,0,3285311,354303,212232,79844,1598232
29,914,254,642,0,5862406,635901,381176,82565,2212290
30,945,263,669,0,5920940,642256,384977,85331,2277906
31,977,274,693,0,5970628,647869,388331,88156,2340101
32,1007,282,716,0,6028239,654322,392191,90658,2400317
33,1048,293,742,0,6097607,662253,396933,93682,2459489
34,1093,303,779,0,6183013,671666,402563,98010,2546384
35,1125,312,807,0,6231901,677421,406004,100738,2606583
36,1161,324,832,0,6300565,685160,410634,103649,2679274
37,1196,333,855,0,6371559,693109,415391,106493,2745084
38,1233,348,878,0,6429319,699759,419365,109588,2804227
39,1261,355,902,0,6482044,705692,422912,112317,2861888
40,1293,367,922,0,6543203,712753,427134,115006,2922938
41,1327,380,936,0,6615421,721038,432093,117661,2977026
42,1372,399,966,0,7392870,800035,479476,123837,3767568
43,1405,408,988,0,7455399,807051,483672,126819,3827742
44,1433,416,1011,0,7541114,817140,489712,131304,3916607
45,1463,428,1028,0,7587993,822597,492977,133884,3963429
46,1491,441,1044,0,7627177,827199,495728,136258,4003771
47,1530,458,1065,0,7719986,837663,501989,161249,7707264
48,1552,467,1081,0,7760745,842272,504745,163194,7751067
49,1579,477,1101,0,7799200,846817,507463,165652,7794458
50,1614,486,1123,0,7852229,852911,511106,168112,7841540
51,1641,489,1143,0,7905831,859034,514769,170273,7885648
52,1671,504,1159,0,7951067,864374,517963,173105,7935005
53,1707,516,1187,0,8025135,872761,522979,177106,8016171
54,1738,528,1207,0,8165537,888520,532420,180569,8158635
55,1771,533,1232,0,8529684,929146,556783,188764,8517532
56,1795,542,1252,0,8663155,943868,565607,191263,8562401
57,1824,549,1272,0,9410766,1028237,616217,194636,8705785
58,1855,559,1288,0,9464591,1034452,619933,196934,8752283
59,1896,578,1310,0,9533117,1042614,624815,200517,8813692
60,1933,587,1340,0,9593008,1049608,628995,204591,8881348
61,1964,598,1362,0,9654470,1056547,633148,207281,8946526
62,2004,608,1386,0,9725703,1064966,638182,211006,9010819
63,2032,621,1408,0,9768232,1069822,641086,213847,9061940
64,2060,633,1424,0,9813121,1075047,644208,216189,9107782
65,2092,644,1444,0,9867420,1081546,648097,219054,9158659
66,2120,653,1465,0,9906440,1086198,650876,221576,9202458
67,2163,662,1496,0,9975967,1094199,655662,224906,9265078
68,2199,673,1521,0,10032942,1100748,659576,227769,9319355
69,2229,683,1542,0,10082808,1106403,662956,230315,9370799
70,2269,695,1573,0,10139949,1113003,666900,233739,9434764
71,2305,708,1595,0,10189404,1118916,670433,236600,9482616
72,2345,720,1618,0,10277870,1128915,676419,239672,9563839
73,2399,734,1656,0,10365242,1139002,682447,244063,9647036
74,2429,746,1678,0,10411020,1144238,685575,246970,9700473
75,2456,757,1695,0,10455939,1149571,688764,249810,9746132
76,2487,765,1717,0,10987822,1204355,721620,252266,9794399
77,2514,772,1740,0,11533921,1263159,756893,288168,11524539
78,2557,791,1763,0,11651493,1276172,764685,293630,11641997
79,2596,801,1788,0,11719965,1283654,769161,296682,11704257
80,2633,819,1810,0,11782664,1290891,773486,300096,11764482
81,2670,833,1835,0,11842318,1297808,777619,303816,11833512
82,2707,847,1857,0,11902530,1304567,781659,306634,11893251
83,2739,857,1881,0,11956230,1310683,785317,309243,11950202
84,2774,868,1902,0,12025340,1318776,790159,312906,12014604
85,2797,877,1919,0,12064306,1323302,792865,314986,12057917
86,2809,880,1926,5,12105234,1327816,795567,316133,12094776
