Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,103332
adapter,2,204765
adapter,3,292921
adapter,4,346970
adapter,5,324046
adapter,6,352468
adapter,7,365682
adapter,8,365976
adapter,9,363146
adapter,10,291042
adapter,11,305998
adapter,12,299770
adapter,13,313579
adapter,14,338211
adapter,15,294745
adapter,16,268140
adapter,17,308858
adapter,18,265385
adapter,19,311406
adapter,20,283961
adapter,21,219152
adapter,22,228946
adapter,23,228676
adapter,24,250849
adapter,25,196184
adapter,26,213812
adapter,27,212817
adapter,28,219420
adapter,29,185889
adapter,30,137086
adapter,31,152048
adapter,32,162976
adapter,33,150388
adapter,34,124646
adapter,35,153495
adapter,36,171936
adapter,37,191108
adapter,38,208831
adapter,39,184944
adapter,40,158043
adapter,41,165802
adapter,42,164170
adapter,43,160198
adapter,44,180463
adapter,45,165989
adapter,46,192215
adapter,47,163697
adapter,48,148574
adapter,49,158551
adapter,50,188787
adapter,51,154598
adapter,52,162407
adapter,53,162007
adapter,54,141508
adapter,55,165172
adapter,56,110694
adapter,57,104879
adapter,58,161795
adapter,59,124237
adapter,60,166177
adapter,61,129565
adapter,62,128284
adapter,63,125233
adapter,64,153391
adapter,65,135543
adapter,66,83558
adapter,67,84403
adapter,68,75729
adapter,69,92211
adapter,70,89860
adapter,71,73954
adapter,72,79505
adapter,73,56835
adapter,74,69557
adapter,75,97721
adapter,76,66622
adapter,77,81553
adapter,78,78578
adapter,79,42006
adapter,80,60518
adapter,81,53326
adapter,82,61160
adapter,83,44659
adapter,84,65000
adapter,85,45290
adapter,86,56776
adapter,87,60168
adapter,88,55184
adapter,89,44847
adapter,90,0
disabled,0,0
disabled,1,0
disabled,2,162672
disabled,3,300000
disabled,4,358303
disabled,5,814933
disabled,6,1011988
disabled,7,1200000
disabled,8,1200000
disabled,9,1200000
disabled,10,1410034
disabled,11,1800000
disabled,12,1800000
disabled,13,1800000
disabled,14,1800000
disabled,15,2147689
disabled,16,2400000
disabled,17,2427154
disabled,18,2700000
disabled,19,2845562
disabled,20,3268274
disabled,21,3300000
disabled,22,3300000
disabled,23,3300000
disabled,24,3320545
disabled,25,3646563
disabled,26,4094603
disabled,27,4200000
disabled,28,4200000
disabled,29,4200000
disabled,30,4200000
disabled,31,4398859
disabled,32,4800000
disabled,33,5024628
disabled,34,5100000
disabled,35,5564755
disabled,36,5700000
disabled,37,5700000
disabled,38,5700000
disabled,39,5923633
disabled,40,6000000
disabled,41,6000000
disabled,42,6000000
disabled,43,6000000
disabled,44,6162596
disabled,45,6439741
disabled,46,6788079
disabled,47,6900000
disabled,48,6900000
disabled,49,6900000
disabled,50,6900000
disabled,51,7170513
disabled,52,7200000
disabled,53,7200000
disabled,54,7318593
disabled,55,7500000
disabled,56,7500000
disabled,57,7723349
disabled,58,7800000
disabled,59,7884436
disabled,60,8100000
disabled,61,8100000
disabled,62,8100000
disabled,63,8100000
disabled,64,8194712
disabled,65,8400000
disabled,66,8619439
disabled,67,8700000
disabled,68,8700000
disabled,69,8700000
disabled,70,8700000
disabled,71,8700000
disabled,72,8700000
disabled,73,8700000
disabled,74,8700000
disabled,75,8700000
disabled,76,8700000
disabled,77,8700000
disabled,78,8873259
disabled,79,9000000
disabled,80,9000000
disabled,81,9000000
disabled,82,9000000
disabled,83,9000000
disabled,84,9000000
disabled,85,9000000
disabled,86,9132253
disabled,87,9600000
disabled,88,9600000
disabled,89,9851390
disabled,90,84061
locked,0,0
locked,1,0
locked,2,2240
locked,3,0
locked,4,1792
locked,5,1792
locked,6,5009
locked,7,0
locked,8,0
locked,9,0
locked,10,3584
locked,11,0
locked,12,0
locked,13,0
locked,14,0
locked,15,6799
locked,16,0
locked,17,5025
locked,18,0
locked,19,1792
locked,20,2240
locked,21,0
locked,22,0
locked,23,0
locked,24,2240
locked,25,1792
locked,26,5017
locked,27,0
locked,28,0
locked,29,0
locked,30,0
locked,31,6184
locked,32,0
locked,33,1608
locked,34,0
locked,35,7835
locked,36,0
locked,37,0
locked,38,0
locked,39,2240
locked,40,0
locked,41,0
locked,42,0
locked,43,0
locked,44,5026
locked,45,2240
locked,46,1792
locked,47,0
locked,48,0
locked,49,0
locked,50,0
locked,51,1792
locked,52,0
locked,53,0
locked,54,1792
locked,55,0
locked,56,0
locked,57,2760
