channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
2,1,0,2.43,1.154,False,86,no_sample,AVK802,4.109,1.728,0,0,0,4.01,1.693,15.141,26.555,38.212,-10,-20,-30,3.09,4.007,1.735,39469,multiple,0,104,9211,242.1,3.42,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,4857,0
3,1,0,2.08,0.475,True,0,no_sample,AVK802,0.51,1.562,0,0,0,0.561,1.521,5.085,9.733,14.589,-10,-20,-30,0.625,0.507,1.551,0,unavailable,0,0,19,,,0,1,0,-195,3,0,0,,,0,0.0,0,45118,0,0,520,0
4,1,0,7.38,1.495,False,0,no_sample,AVK802,3.033,1.565,0,0,0,3.076,1.596,17.158,31.734,47.048,-10,-20,-30,1.394,3.005,1.575,8297,multiple,0,3514,35260,243.06,2.04,0,1,0,-195,3,0,0,,,0,0.0,0,5040,0,0,690,0
5,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
6,1,0,-0.3,0.117,False,5,no_sample,AVK802,1.204,1.62,0,0,0,1.063,1.577,2.784,3.97,5.126,-10,-20,-30,13.815,1.312,1.604,0,unavailable,0,0,45,,,0,1,0,-195,3,0,0,,,5,0.0,0,40050,0,0,5163,0
7,1,2642,4.4,0.759,True,275,no_sample,AVK802,1.795,1.53,0,1,1,1.754,1.511,8.986,16.355,24.164,-10,-20,-30,1.738,1.795,1.539,0,single_pore,0,40832,5315,213.55,1.64,0,1,0,-195,3,0,0,,,43749,0.0,0,0,0,0,7537,23
8,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
9,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
10,1,1858,2.79,0.758,True,376,no_sample,AVK802,1.616,1.448,0,1,1,1.628,1.446,8.694,16.131,23.847,-10,-20,-30,1.411,1.565,1.449,0,single_pore,0,44604,5348,210.14,1.59,0,1,0,-195,3,0,0,,,46838,0.0,0,0,0,0,2706,0
11,1,752,2.82,0.75,True,220,no_sample,AVK802,1.689,1.521,0,1,1,1.716,1.477,8.806,16.164,23.804,-10,-20,-30,1.678,1.75,1.504,0,single_pore,0,39083,11211,208.96,1.58,0,1,0,-195,3,0,0,,,40055,0.0,0,0,0,0,4508,0
12,1,0,2.14,0.742,True,108,no_sample,AVK802,1.287,1.502,0,0,0,1.39,1.488,8.208,15.523,23.052,-10,-20,-30,1.01,1.199,1.541,0,other,0,1854,55873,187.9,1.83,0,1,0,-195,3,0,0,,,1962,0.0,0,0,0,0,245,0
13,1,388,2.49,0.76,True,76,no_sample,AVK802,1.003,1.679,0,1,1,0.998,1.672,8.243,15.723,23.452,-10,-20,-30,0.783,0.976,1.623,0,single_pore,0,19967,6211,210.44,1.72,0,1,0,-195,3,0,0,,,20431,0.0,0,27201,0,0,447,0
14,1,1364,4.32,0.784,True,286,no_sample,AVK802,2.024,1.763,0,1,1,2.098,1.717,9.48,17.108,25.168,-10,-20,-30,1.988,2.084,1.741,0,single_pore,0,42074,9053,215.68,1.83,0,1,0,-195,3,0,0,,,43724,0.0,0,0,0,0,2530,0
15,1,1585,4.99,0.771,True,73,no_sample,AVK802,1.283,1.586,0,1,1,1.277,1.562,8.494,15.959,23.923,-10,-20,-30,0.895,1.279,1.537,0,single_pore,0,18798,21062,214.46,1.65,0,1,0,-195,3,0,0,,,20456,0.0,0,13915,0,0,1806,0
16,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
17,1,1650,2.9,0.737,True,155,no_sample,AVK802,0.984,1.605,0,0,0,0.631,1.535,7.595,14.825,22.345,-10,-20,-30,0.23,0.718,1.571,741,multiple,0,4423,49576,204.19,1.52,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,339,0
18,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
19,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
20,1,430,2.63,0.757,True,31,no_sample,AVK802,1.557,1.477,0,0,0,1.579,1.457,8.708,16.145,23.845,-10,-20,-30,1.446,1.506,1.485,0,zero,0,4598,883,210.96,1.85,0,1,0,-195,3,0,0,,,5059,0.0,0,0,0,0,21,50080
21,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
22,1,1833,3.24,0.744,True,39,no_sample,AVK802,1.497,1.668,0,1,1,1.487,1.643,8.508,15.79,23.396,-10,-20,-30,1.353,1.517,1.653,0,single_pore,0,25417,24279,206.92,1.75,0,1,0,-195,3,0,0,,,27289,0.0,0,0,0,0,4130,0
23,1,0,-0.04,0.007,False,0,no_sample,AVK802,-0.808,1.426,0,0,0,-0.78,1.41,-0.717,-0.64,-0.567,-10,-20,-30,-105.491,-0.79,1.393,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,11,55209
24,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
25,1,2697,2.79,0.766,True,410,no_sample,AVK802,1.306,1.629,0,1,1,1.391,1.574,8.49,16.006,23.801,-10,-20,-30,1.027,1.328,1.625,0,single_pore,0,46632,861,217.72,1.72,0,1,0,-195,3,1657,0,111.85,67.2,51396,0.0,0,0,0,0,3289,0
26,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
27,1,0,1.13,0.753,True,0,no_sample,AVK802,0.852,1.549,0,0,0,0.848,1.526,8.095,15.571,23.16,-10,-20,-30,0.721,0.838,1.543,0,unavailable,0,320,35234,210.97,1.79,0,1,0,-195,3,5007,5038,119.8,38.0,5327,0.0,0,10007,0,0,20,0
28,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
29,1,949,2.35,0.766,True,14,no_sample,AVK802,1.292,1.521,0,0,0,1.302,1.511,8.402,15.942,23.717,-10,-20,-30,0.919,1.28,1.494,0,zero,0,4898,15813,211.19,1.49,0,1,0,-195,3,0,0,,,5861,0.0,0,5016,0,0,1026,27374
30,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
31,1,1968,7.1,0.748,True,446,no_sample,AVK802,1.642,1.401,0,1,1,1.639,1.41,8.709,15.838,23.677,-10,-20,-30,1.463,1.578,1.391,0,single_pore,0,44077,5166,209.33,1.49,0,1,0,-195,3,0,0,,,46491,0.0,0,0,0,0,3127,0
32,1,1939,2.38,0.757,True,686,no_sample,AVK802,1.606,1.393,0,1,1,1.633,1.418,8.78,16.235,23.928,-10,-20,-30,1.538,1.65,1.414,0,single_pore,0,45131,1526,210.13,1.53,0,1,0,-195,3,0,0,,,47756,0.0,0,0,0,0,5915,0
33,1,223,2.73,0.751,True,451,no_sample,AVK802,1.328,1.464,0,1,1,1.345,1.454,8.405,15.778,23.424,-10,-20,-30,1.13,1.318,1.42,0,single_pore,0,40856,10256,207.83,1.57,0,1,0,-195,3,0,0,,,41530,0.0,0,0,0,0,1887,962
34,1,2218,2.64,0.746,True,250,no_sample,AVK802,1.935,1.421,0,1,1,1.921,1.443,8.92,16.251,23.846,-10,-20,-30,1.891,1.939,1.405,0,single_pore,0,32128,9406,207.55,1.52,0,1,0,-195,3,3526,0,113.11,58.5,38122,0.0,0,0,0,0,9880,12
35,1,363,3.3,0.733,True,126,no_sample,AVK802,1.255,1.454,0,0,0,1.172,1.475,7.927,15.09,22.583,-10,-20,-30,0.739,1.203,1.443,0,unavailable,0,6894,650,203.03,1.55,0,1,0,-195,3,0,0,,,7383,0.0,0,35557,0,0,993,0
36,1,1407,2.13,0.75,True,305,no_sample,AVK802,1.723,1.465,0,1,1,1.755,1.454,8.703,16.097,23.704,-10,-20,-30,1.554,1.733,1.482,0,single_pore,0,46005,3254,208.11,1.72,0,1,0,-195,3,0,0,,,47717,0.0,0,0,0,0,5270,0
37,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
38,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
39,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
40,1,0,,,False,0,no_sample,AVK802,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
