filename_fastq	filename_fast5	filename_pod5	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	ee187add-0577-4224-906f-31b1519cf10f	ee187add-0577-4224-906f-31b1519cf10f	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	95	1	158	76.690400	0.257200	FALSE	76.692400	212	0.255200	78	5.966718	0.000000	-394.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	f6b14871-385f-4758-805c-8f69eadd480c	f6b14871-385f-4758-805c-8f69eadd480c	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	105	1	158	74.769200	0.286000	FALSE	74.771200	236	0.284000	69	5.645890	0.000000	-394.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_pass_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	eff317cc-9c4e-458d-b711-f2f9f2035998	eff317cc-9c4e-458d-b711-f2f9f2035998	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	25	1	172	78.041600	0.331400	TRUE	78.043600	274	0.329400	83	9.334976	0.000000	-398.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	ba453dd7-2bad-44e8-bc9b-0a0c3e6ac7fa	ba453dd7-2bad-44e8-bc9b-0a0c3e6ac7fa	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	70	1	164	83.290400	0.243600	FALSE	83.292400	201	0.241600	84	7.886360	0.000000	-385.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	73d40319-c5dd-44d6-9843-a627e0868ce3	73d40319-c5dd-44d6-9843-a627e0868ce3	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	94	1	176	79.891400	0.322400	FALSE	79.893400	267	0.320400	76	4.948364	0.000000	-395.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	b486d2d1-aa35-485d-be99-0813fcc340b0	b486d2d1-aa35-485d-be99-0813fcc340b0	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	88	1	228	84.165400	0.435600	FALSE	84.167400	361	0.433600	80	5.155254	0.000000	-394.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	3836a6e6-1f37-4d20-96ee-eb290f148206	3836a6e6-1f37-4d20-96ee-eb290f148206	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	34	1	386	81.259600	0.705200	FALSE	81.261600	586	0.703200	83	8.488461	0.000000	-386.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_fail_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	ace16167-d7d1-4c84-bf36-fc436222c5c0	ace16167-d7d1-4c84-bf36-fc436222c5c0	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	53	1	159	150.783600	0.259400	FALSE	150.785600	214	0.257400	84	6.156457	0.000000	-396.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_pass_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	8714d012-8b66-4d89-b35b-3f47b1cde195	8714d012-8b66-4d89-b35b-3f47b1cde195	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	55	1	168	158.823000	0.277600	TRUE	158.825000	229	0.275600	86	17.156462	0.000000	-396.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
AVK802_pass_e0f15f52_2d752c5f_0.fastq.gz	-	AVK802_e0f15f52_2d752c5f_0.pod5	2004c0b2-2b47-4997-86bb-1a4e0f60dbfe	2004c0b2-2b47-4997-86bb-1a4e0f60dbfe	2d752c5fb82f65f0f88ab3e14a6a0e70ade3fb9f	69	1	305	156.809600	0.473600	TRUE	156.811600	393	0.471600	216	9.165246	0.000000	-396.565857	0.009929	not_set	20240709_40bp_standart	no_sample	signal_positive
