Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,7,1,6,0,12907,1442,861,553,12907
2,23,5,7,0,35960,4262,2548,1106,20736
3,36,17,16,0,72991,8777,5253,4257,69229
4,52,23,24,0,98884,11804,7062,5333,90921
5,65,32,31,0,260892,30520,18286,6545,117488
6,77,36,36,0,729423,78356,46983,16625,719128
7,99,42,49,0,1496426,160455,96232,18605,758489
8,117,52,59,0,1527390,164034,98375,20751,802177
9,131,60,67,0,1601241,172393,103385,23471,883377
10,151,67,78,0,1636322,176212,105669,25152,915736
11,158,70,85,0,1647513,177492,106433,25940,930758
12,170,75,91,0,1781363,192289,115307,27059,948364
13,185,83,98,0,1981994,214884,128858,30495,1093654
14,197,87,105,0,3813442,398784,239193,35049,1291324
15,204,91,110,0,3829647,400691,240335,36275,1313160
16,212,94,113,0,3911090,410433,246178,37377,1329368
17,229,100,123,0,3967100,416821,250004,40598,1442239
18,240,103,131,0,3982738,418728,251143,41612,1462022
19,256,108,140,0,8099683,845476,507184,42666,1482078
20,270,112,149,0,8342811,874255,524444,49702,1727189
21,277,118,154,0,8357194,875861,525403,50761,1748435
22,288,122,160,0,8378643,878285,526853,51592,1769243
23,303,126,172,0,8398593,880680,528285,52868,1791178
24,313,132,176,0,8423365,883556,530007,54340,1814865
25,323,138,182,0,8443712,885724,531303,55412,1838842
26,332,141,184,0,8505956,893109,535730,56040,1848733
27,337,142,190,0,8514505,894025,536277,58194,1906470
28,345,147,195,0,8531027,895931,537417,59261,1926157
29,353,149,201,0,8546056,897621,538426,60051,1941186
30,358,150,203,0,8562496,899388,539485,60293,1946331
31,364,153,208,0,8682960,913172,547753,64232,2078090
32,372,156,212,0,9742945,1022878,613574,64759,2089073
33,374,156,214,0,9745704,1023186,613758,64844,2091832
34,377,158,214,0,9749846,1023681,614054,65018,2094699
35,384,159,218,0,10798064,1134161,680339,65727,2115485
36,396,160,227,0,11102880,1165995,699435,69570,2415975
37,402,164,237,0,11111393,1167029,700054,120426,11110291
38,412,167,241,0,11132280,1169356,701447,121049,11120994
39,416,168,247,0,11137876,1170022,701845,121548,11136655
40,422,172,249,0,11145504,1170967,702410,122060,11144360
41,433,176,256,0,11162342,1172979,703612,123034,11160894
42,443,182,259,0,11202974,1177636,706402,124474,11200481
43,451,184,264,0,11217033,1179303,707399,125064,11209168
44,458,188,269,0,12647517,1342081,805063,125887,11228270
45,464,190,272,0,12666434,1344133,806292,126339,11241593
46,476,195,278,0,12698474,1347900,808547,128260,11275767
47,483,197,282,0,12709415,1349208,809328,128737,11284805
48,488,200,287,0,12717923,1350171,809904,129396,11298676
49,492,200,290,0,12723997,1350864,810318,129605,11302993
50,501,203,297,0,12869256,1365428,819052,130884,11450009
51,509,205,302,0,12883729,1367162,820088,131462,11459622
52,516,208,307,0,12894458,1368458,820863,132517,11475211
53,523,211,310,0,13085405,1389175,833290,133185,11664933
54,529,212,315,0,13100593,1390686,834194,133492,11679094
55,535,217,316,0,13110173,1391910,834926,134183,11689550
56,541,218,322,0,13125544,1393522,835890,134526,11706297
57,547,218,325,0,13135382,1394684,836584,134741,11711160
58,552,221,330,0,13160169,1397223,838105,135750,11740922
59,559,221,333,0,13177265,1399007,839173,136007,11750265
60,566,225,340,0,13192510,1400749,840215,137217,11773263
61,568,226,341,0,13195362,1401067,840405,137333,11776115
62,572,226,344,0,13202123,1401831,840862,137573,11781560
63,579,229,349,0,13215909,1403477,841845,138499,11796662
64,586,231,352,0,13230670,1405138,842839,138945,11808716
65,592,233,357,0,13240710,1406307,843538,139529,11819827
66,595,235,359,0,13248669,1407087,844005,139785,11829422
67,599,235,363,0,13257855,1408162,844648,140355,11838608
68,604,235,367,0,13265189,1408980,845137,140630,11844346
69,610,236,372,0,13283207,1410978,846334,141414,11861979
70,615,236,374,0,13295204,1412326,847141,141542,11865260
71,620,240,378,0,13302975,1413247,847692,142184,11882331
72,623,242,378,0,24464249,2591893,1554879,142348,11884858
73,627,244,381,0,24473228,2593007,1555546,143019,11895181
74,628,245,381,0,24477687,2593563,1555879,143393,11899640
75,631,246,383,0,24487705,2594575,1556485,143637,11909658
76,635,249,384,0,24497469,2595711,1557165,144181,11919422
77,639,250,387,0,24503264,2596411,1557583,144448,11925217
78,643,251,390,0,24509916,2597134,1558015,144777,11931869
79,645,251,392,0,24516829,2597903,1558476,145093,11938782
80,648,253,393,0,24524313,2598857,1559047,145652,11946266
81,649,253,394,0,24529145,2599357,1559347,145740,11951098
82,652,255,395,0,24535591,2600105,1559795,146180,11957544
83,655,256,398,0,27921772,2958932,1775090,337143,27920415
84,656,257,398,0,27923204,2959108,1775195,337221,27921772
85,657,258,399,0,27924722,2959273,1775294,337386,27924722
86,661,260,401,0,27944349,2961540,1776653,338285,27944349
87,662,261,401,0,27945479,2961694,1776745,338369,27945479
88,663,261,402,0,27947067,2961868,1776849,338392,27947067
89,670,263,405,0,30991973,3274571,1964468,338713,27954462
90,670,264,406,0,30991973,3274571,1964468,358955,30991973
